Commentary	Substrate	Ref	Literature(PubmedID)	value
pH 6.0, 60°C	xylohexaose	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	0.02
pH 6.0, 60°C	xylopentaose	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	0.12
pH 6.0, 60°C	xylotetraose	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	0.33
pH 6.0, 60°C	xylohexaose	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	0.02
pH 6.0, 60°C	xylopentaose	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	0.12
pH 6.0, 60°C	xylotetraose	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	0.33
kcat/Km value is 3401 ml per mg and s, pH 5.0, 50°C	beechwood xylan	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2632 ml per mg and s, pH 5.0, 50°C	birchwood xylan	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2625 ml per mg and s, pH 5.0, 50°C	oat spelt xylan	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 3401 ml per mg and s, pH 5.0, 50°C	beechwood xylan	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2632 ml per mg and s, pH 5.0, 50°C	birchwood xylan	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2625 ml per mg and s, pH 5.0, 50°C	oat spelt xylan	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 3401 ml per mg and s, pH 5.0, 50°C	beechwood xylan	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2632 ml per mg and s, pH 5.0, 50°C	birchwood xylan	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2625 ml per mg and s, pH 5.0, 50°C	oat spelt xylan	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 3401 ml per mg and s, pH 5.0, 50°C	beechwood xylan	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2632 ml per mg and s, pH 5.0, 50°C	birchwood xylan	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2625 ml per mg and s, pH 5.0, 50°C	oat spelt xylan	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 3401 ml per mg and s, pH 5.0, 50°C	beechwood xylan	157	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2632 ml per mg and s, pH 5.0, 50°C	birchwood xylan	157	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2625 ml per mg and s, pH 5.0, 50°C	oat spelt xylan	157	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 3401 ml per mg and s, pH 5.0, 50°C	beechwood xylan	158	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
kcat/Km value is 2632 ml per mg and s, pH 5.0, 50°C	birchwood xylan	158	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	-999.0
