Commentary	Ref	Literature(PubmedID)	Inhibitor	value
mutant S129G/DELTAD130	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	3.9E-6
mutant S129G	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	8.2E-5
mutant S129G/S44N	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	9.0E-5
pH 4.5, 30°C, mutant DELTAP130/K131S/K132S	1127	https://www.ncbi.nlm.nih.gov/pubmed/?term=19118652	XIP-I	0.0165
mutant S129G/DELTAD130	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	3.9E-6
mutant S129G	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	8.2E-5
mutant S129G/S44N	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	9.0E-5
pH 4.5, 30°C, mutant DELTAP130/K131S/K132S	1128	https://www.ncbi.nlm.nih.gov/pubmed/?term=19118652	XIP-I	0.0165
mutant S129G/DELTAD130	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	3.9E-6
mutant S129G	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	8.2E-5
mutant S129G/S44N	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=18384043	XIP-I	9.0E-5
pH 4.5, 30°C, mutant DELTAP130/K131S/K132S	1129	https://www.ncbi.nlm.nih.gov/pubmed/?term=19118652	XIP-I	0.0165
pH 4.2, 45°C	1567	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1567	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1568	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1568	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1569	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1569	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1570	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1570	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1571	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1571	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1572	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1572	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1573	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1573	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1574	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1574	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
pH 4.2, 45°C	1575	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	TAXI-I	3.0E-6
pH 4.2, 45°C	1575	https://www.ncbi.nlm.nih.gov/pubmed/?term=15450181	XIP-I	9.0E-5
	1582	https://www.ncbi.nlm.nih.gov/pubmed/?term=7189122	NaH2PO4	100.0
	1583	https://www.ncbi.nlm.nih.gov/pubmed/?term=7189122	NaH2PO4	100.0
	1584	https://www.ncbi.nlm.nih.gov/pubmed/?term=7189122	NaH2PO4	100.0
	1585	https://www.ncbi.nlm.nih.gov/pubmed/?term=7189122	NaH2PO4	100.0
pH 6.0, 50°C	1641	https://www.ncbi.nlm.nih.gov/pubmed/?term=15317808	pepstatin A	2.8E-5
Ki values of omega-epoxyalkyl glycosides of D-xylopyranose, overview	1670	https://www.ncbi.nlm.nih.gov/pubmed/?term=12932372	more	-999.0
Ki values of omega-epoxyalkyl glycosides of D-xylopyranose, overview	1671	https://www.ncbi.nlm.nih.gov/pubmed/?term=12932372	more	-999.0
