Commentary	Ref	Literature(PubmedID)	value
gel filtration	0	https://www.brenda-enzymes.org/literature.php?r=171611	55000.0
1 	0	https://www.brenda-enzymes.org/literature.php?r=171611	60000.0
2 	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	27500.0
gel filtration	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	54000.0
2 	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	27500.0
gel filtration	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	54000.0
2 	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	27500.0
gel filtration	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	54000.0
2 	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	27500.0
gel filtration	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	54000.0
x 	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	42500.0
x 	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	42500.0
1 	57	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	63000.0
1 	58	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	63000.0
1 	59	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	63000.0
	86	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	130000.0
	86	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	131500.0
	87	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	130000.0
	87	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	131500.0
isoform xyl II, gelfiltration	105	https://www.brenda-enzymes.org/literature.php?r=666701	7700.0
1 	105	https://www.brenda-enzymes.org/literature.php?r=666701	17700.0
isoform xyl I, gelfiltration	105	https://www.brenda-enzymes.org/literature.php?r=666701	26300.0
1 	105	https://www.brenda-enzymes.org/literature.php?r=666701	27000.0
x 	107	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	21000.0
x 	107	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	24000.0
x 	108	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	21000.0
x 	108	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	24000.0
x 	117	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	118	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	119	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	120	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	121	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	122	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	123	https://www.brenda-enzymes.org/literature.php?r=738888	23000.0
	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	24500.0
SDS-PAGE	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	66000.0
x 	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	21000.0
x 	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	24000.0
x 	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	21000.0
x 	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	24000.0
x 	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	21000.0
x 	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	24000.0
x 	132	https://www.ncbi.nlm.nih.gov/pubmed/?term=20159568	25100.0
x 	133	https://www.ncbi.nlm.nih.gov/pubmed/?term=20159568	25100.0
x 	134	https://www.ncbi.nlm.nih.gov/pubmed/?term=20159568	25100.0
	136	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23000.0
	136	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23300.0
	137	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23000.0
	137	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23300.0
	138	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23000.0
	138	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23300.0
	139	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23000.0
	139	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23300.0
	140	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23000.0
	140	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	23300.0
x 	143	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	144	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	145	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	146	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	147	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	148	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	149	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	150	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
x 	151	https://www.brenda-enzymes.org/literature.php?r=171658	34000.0
xylanase I, gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553703	12000.0
xylanase II, gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553703	13500.0 - 14000.0
gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553704	16500.0
x 	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	20000.0
SDS-PAGE	153	https://www.brenda-enzymes.org/literature.php?r=679573	21000.0
x 	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	23000.0
x 	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=24888408	23000.0
gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=19078	24000.0
x 	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553705	28000.0
xylanase II, gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	31000.0
1 	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	33000.0
gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	34000.0
xylanase IA and IB, gel filtration	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	50000.0
xylanase I, gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553703	12000.0
xylanase II, gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553703	13500.0 - 14000.0
gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553704	16500.0
x 	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	20000.0
SDS-PAGE	154	https://www.brenda-enzymes.org/literature.php?r=679573	21000.0
x 	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	23000.0
x 	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=24888408	23000.0
gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=19078	24000.0
x 	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553705	28000.0
xylanase II, gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	31000.0
1 	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	33000.0
gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	34000.0
xylanase IA and IB, gel filtration	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	50000.0
xylanase I, gel filtration	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553703	12000.0
xylanase II, gel filtration	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553703	13500.0 - 14000.0
gel filtration	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553704	16500.0
x 	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	20000.0
SDS-PAGE	155	https://www.brenda-enzymes.org/literature.php?r=679573	21000.0
x 	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	23000.0
x 	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=24888408	23000.0
gel filtration	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=19078	24000.0
x 	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553705	28000.0
