Commentary	Ref	Literature(PubmedID)	value
	5	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	6	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	7	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
recombinant XynS14	25	https://www.ncbi.nlm.nih.gov/pubmed/?term=21269876	80.0
	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	55.0
	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	60.0
	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	55.0
	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	60.0
	51	https://www.ncbi.nlm.nih.gov/pubmed/?term=18597051	50.0
assay at	53	https://www.ncbi.nlm.nih.gov/pubmed/?term=25784958	37.0
recombinant EGXA with xylan as substrate	57	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	45.0
recombinant EGXA with xylan as substrate	58	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	45.0
recombinant EGXA with xylan as substrate	59	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	45.0
assay at	85	https://www.ncbi.nlm.nih.gov/pubmed/?term=25784958	37.0
	86	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	45.0
	87	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	45.0
both isoforms xyl I, xyl II	105	https://www.brenda-enzymes.org/literature.php?r=666701	50.0 - 55.0
	107	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	55.0
	108	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	55.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	117	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	117	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	117	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	118	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	118	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
