Commentary	Ref	Literature(PubmedID)	value
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	5	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	6	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	7	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
rapid decline of activity at 65°C	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
rapid decline of activity at 65°C	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
rapid decline of activity at 65°C	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
rapid decline of activity at 65°C	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
XynA4 shows over 50% of maximal activity within this range	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	40.0 - 65.0
XynA4 shows over 50% of maximal activity within this range	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	40.0 - 65.0
	51	https://www.ncbi.nlm.nih.gov/pubmed/?term=18597051	50.0 - 55.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
activity range, profile, overview	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	157	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	157	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
