Commentary	Ref	Literature(PubmedID)	value
	5	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	6.0
	6	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	6.0
	7	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	6.0
isozymes I and III	11	https://www.brenda-enzymes.org/literature.php?r=655807	3.5
isozyme II	11	https://www.brenda-enzymes.org/literature.php?r=655807	3.8
isozymes I and III	12	https://www.brenda-enzymes.org/literature.php?r=655807	3.5
isozyme II	12	https://www.brenda-enzymes.org/literature.php?r=655807	3.8
isozymes I and III	13	https://www.brenda-enzymes.org/literature.php?r=655807	3.5
isozyme II	13	https://www.brenda-enzymes.org/literature.php?r=655807	3.8
	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	6.5
	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	7.0
	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	6.5
	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	7.0
	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	6.5
	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	7.0
	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	6.5
	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	7.0
recombinant XynS14	25	https://www.ncbi.nlm.nih.gov/pubmed/?term=21269876	6.0
	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	6.0
	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	7.0
	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	6.0
	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	7.0
	51	https://www.ncbi.nlm.nih.gov/pubmed/?term=18597051	6.0
assay at	53	https://www.ncbi.nlm.nih.gov/pubmed/?term=25784958	5.0
recombinant EGXA with xylan as substrate	57	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	6.0
recombinant EGXA with xylan as substrate	58	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	6.0
recombinant EGXA with xylan as substrate	59	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	6.0
assay at	85	https://www.ncbi.nlm.nih.gov/pubmed/?term=25784958	5.0
	86	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	6.5
	87	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	6.5
isoform xyl II	105	https://www.brenda-enzymes.org/literature.php?r=666701	5.5 - 6.5
isoform xyl I	105	https://www.brenda-enzymes.org/literature.php?r=666701	6.5 - 7.0
	107	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	5.0
	108	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	5.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	5.0
	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	5.0
xylanase I	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	6.0 - 6.5
xylanase II	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	6.0
xylanase I	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	6.0 - 6.5
xylanase II	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	6.0
xylanase I	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	6.0 - 6.5
xylanase II	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=15114860	6.0
	132	https://www.ncbi.nlm.nih.gov/pubmed/?term=20159568	5.0
	133	https://www.ncbi.nlm.nih.gov/pubmed/?term=20159568	5.0
	134	https://www.ncbi.nlm.nih.gov/pubmed/?term=20159568	5.0
wild-type	136	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	2.0
mutant T64S	136	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	3.8
mutant D48N/T64S	136	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	5.0
wild-type	137	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	2.0
mutant T64S	137	https://www.ncbi.nlm.nih.gov/pubmed/?term=26686608	3.8
