Commentary	Ref	Literature(PubmedID)	value
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	5	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	4.0 - 8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	6	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	4.0 - 8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	7	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	4.0 - 8.0
50% of maximal activity at pH 4.0 and pH 8.5	14	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	4.0 - 8.5
50% of maximal activity at pH 4.0 and pH 8.5	15	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	4.0 - 8.5
50% of maximal activity at pH 4.0 and pH 8.5	16	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	4.0 - 8.5
50% of maximal activity at pH 4.0 and pH 8.5	17	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	4.0 - 8.5
XynA4 shows over 40% of maximal activity within this range	44	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	3.8 - 9.4
XynA4 shows over 40% of maximal activity within this range	45	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	3.8 - 9.4
	51	https://www.ncbi.nlm.nih.gov/pubmed/?term=18597051	5.8 - 6.2
29% of maximum activity	86	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	5.5
29% of maximum activity	87	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	5.5
about 47 and 41% activity is observed at pH 8 and 9, respectively	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	3.0 - 9.0
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	143	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	144	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	145	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	146	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	147	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	148	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	149	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	150	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	151	https://www.brenda-enzymes.org/literature.php?r=171658	4.8 - 8.4
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553705	2.8 - 7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	3.0 - 8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553704	3.5 - 6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	3.5 - 8.0
more than 50% maximal activity	153	https://www.brenda-enzymes.org/literature.php?r=679573	3.6 - 6.5
	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553705	2.8 - 7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=455113	3.0 - 8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=18553704	3.5 - 6.5
