Commentary	Ref	Literature(PubmedID)	value
calculated	107	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	1.7
calculated	108	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	1.7
calculated	117	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
calculated	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
calculated	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
calculated	120	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
calculated	121	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
calculated	122	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
calculated	123	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	6.3
isoelectric focusing	153	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	154	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	155	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	156	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	157	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	158	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	163	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	164	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	165	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	166	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	167	https://www.ncbi.nlm.nih.gov/pubmed/?term=16091777	5.6
isoelectric focusing	248	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	249	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	250	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	251	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	252	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	253	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	254	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	255	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	256	https://www.brenda-enzymes.org/literature.php?r=678008	8.8
isoelectric focusing	268	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	269	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	270	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	271	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	272	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	273	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	274	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	275	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
isoelectric focusing	276	https://www.brenda-enzymes.org/literature.php?r=679547	4.5
alkaline isozyme XylI	351	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	351	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	351	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	351	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	351	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	352	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	352	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	352	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	352	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	352	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	353	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	353	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	353	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	353	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	353	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	354	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	354	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	354	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	354	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	354	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	355	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	355	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	355	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	355	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	355	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	356	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	356	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	356	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	356	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	356	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	357	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	357	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	357	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	357	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	357	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	358	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	358	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	358	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	358	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	358	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	359	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	359	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
IEF-PAGE	359	https://www.ncbi.nlm.nih.gov/pubmed/?term=18776691	7.5
	359	https://www.ncbi.nlm.nih.gov/pubmed/?term=20075612	9.27
	359	https://www.ncbi.nlm.nih.gov/pubmed/?term=19332293	9.44
alkaline isozyme XylI	360	https://www.brenda-enzymes.org/literature.php?r=655381	4.6 - 4.7
neutral isozyme XylII	360	https://www.brenda-enzymes.org/literature.php?r=655381	7.5
