1	1	Acting on the CH-OH group of donors
1	2	Acting on the aldehyde or oxo group of donors
1	3	Acting on the CH-CH group of donors
1	4	Acting on the CH-NH2 group of donors
1	5	Acting on the CH-NH group of donors
1	6	Acting on NADH or NADPH
1	7	Acting on other nitrogenous compounds as donors
1	8	Acting on a sulfur group of donors
1	9	Acting on a heme group of donors
1	10	Acting on diphenols and related substances as donors
1	11	Acting on a peroxide as acceptor
1	12	Acting on hydrogen as donor
1	13	Acting on single donors with incorporation of molecular oxygen (oxygenases)
1	14	Acting on paired donors, with incorporation or reduction of molecular oxygen
1	15	Acting on superoxide radicals as acceptor
1	16	Oxidising metal ions
1	17	Acting on CH or CH2 groups
1	18	Acting on iron-sulfur proteins as donors
1	19	Acting on reduced flavodoxin as donor
1	20	Acting on phosphorus or arsenic in donors
1	21	Acting on the reaction X-H + Y-H = X-Y 
1	22	Acting on halogen in donors
1	23	Reducing C-O-C group as acceptor
1	97	Other oxidoreductases
2	1	Transferring one-carbon groups
2	2	Transferring aldehyde or ketonic groups
2	3	Acyltransferases
2	4	Glycosyltransferases
2	5	Transferring alkyl or aryl groups, other than methyl groups
2	6	Transferring nitrogenous groups
2	7	Transferring phosphorus-containing groups
2	8	Transferring sulfur-containing groups
2	9	Transferring selenium-containing groups
2	10	Transferring molybdenum- or tungsten-containing groups
3	1	Acting on ester bonds
3	2	Glycosylases
3	3	Acting on ether bonds
3	4	Acting on peptide bonds (peptidases)
3	5	Acting on carbon-nitrogen bonds, other than peptide bonds
3	6	Acting on acid anhydrides
3	7	Acting on carbon-carbon bonds
3	8	Acting on halide bonds
3	9	Acting on phosphorus-nitrogen bonds
3	10	Acting on sulfur-nitrogen bonds
3	11	Acting on carbon-phosphorus bonds
3	12	Acting on sulfur-sulfur bonds
3	13	Acting on carbon-sulfur bonds
4	1	Carbon-carbon lyases
4	2	Carbon-oxygen lyases
4	3	Carbon-nitrogen lyases
4	4	Carbon-sulfur lyases
4	5	Carbon-halide lyases
4	6	Phosphorus-oxygen lyases
4	7	Carbon-phosphorus lyases
4	99	Other lyases
5	1	Racemases and epimerases
5	2	cis-trans-Isomerases
5	3	Intramolecular isomerases
5	4	Intramolecular transferases (mutases)
5	5	Intramolecular lyases
5	6	Isomerases altering macromolecular conformation
5	99	Other isomerases
6	1	Forming carbon—oxygen bonds
6	2	Forming carbon—sulfur bonds
6	3	Forming carbon—nitrogen bonds
6	4	Forming carbon—carbon bonds
6	5	Forming phosphoric ester bonds
6	6	Forming nitrogen—metal bonds
7	1	Catalysing the translocation of hydrons
7	2	Catalysing the translocation of inorganic cations
7	3	Catalysing the translocation of inorganic anions and their chelates
7	4	Catalysing the translocation of amino acids and peptides
7	5	Catalysing the translocation of carbohydrates and their derivatives
7	6	Catalysing the translocation of other compounds
