EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Literature(PubmedID)	Ref
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Archaea	FRENDA	10648518; 16428816	0
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		archaeon	AMENDA reliability +	15901685	1
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		archaeon	FRENDA	16788179	2
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus methanolicus	AMENDA reliability +	25595770	3
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus methanolicus		19593556	4
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus methanolicus	FRENDA	26276544; 25596507	5
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus subtilis	AMENDA reliability +	25595770	6
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus subtilis	concomitant induction of 3-hexulose 6-phosphate synthase and 6-phospho-3-hexuloisomerase by formaldehyde	10572115	7
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus subtilis	FRENDA	10572115; 15978081	8
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacillus subtilis		19593556	9
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	P42404	Bacillus subtilis		11468398	10
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacteria	AMENDA reliability +	17675378; 15901685	11
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Bacteria	FRENDA	26276544; 14532071; 10648518; 12351229; 17436647; 10572115; 16428816; 19593556; 25596507	12
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Brevibacillus brevis	AMENDA reliability +	12351229	13
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Brevibacillus brevis		19593556	14
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Burkholderia cepacia TM1	AMENDA reliability +	14532071	15
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Corynebacterium glutamicum	FRENDA	26276544; 25595770	16
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Escherichia coli	FRENDA	10418139; 17520247; 15901685; 15978081; 25596507	17
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methanocaldococcus jannaschii	AMENDA reliability +	11839305	18
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	Q58644	Methanocaldococcus jannaschii		11839305	19
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methanosarcina	FRENDA	16428816	20
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methanosarcina sp.		19593556	21
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methylobacillus flagellatus KT		19593556	22
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methylococcus capsulatus	grown on methane	4219834	23
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methylococcus capsulatus	AMENDA reliability +	4219834	24
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methylococcus capsulatus		19593556	25
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methylomonas aminofaciens		19593556	26
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	Q9S0X3	Methylomonas aminofaciens		27321011	27
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Methylomonas aminofaciens 77a	FRENDA	14532071; 10418139	28
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	Q9S0X3	Methylomonas aminofaciens 77a		27321011	29
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		methylotrophic bacterium	FRENDA	14532071; 10418139; 10648518; 17520247	30
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri	FRENDA	10648518	31
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri		19593556; 20549541	32
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase	Q9LBW5	Mycobacterium gastri		17520247	33
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19	FRENDA	10648518; 17520247	34
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19		20549541	35
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19		20549541	36
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19		20549541	37
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19		20549541	38
5.3.1.27	D-arabino-hex-3-ulose-6-phosphate isomerase	6-phospho-3-hexuloisomerase		Mycobacterium gastri MB19		20549541	39
