Commentary	Ref	Literature(PubmedID)	value
gel filtration	76	12974403	115000.0
x 	122	21463533	65666.0
x 	122	21463533	80000.0
SDS-PAGE	167	19127444	63000.0
SDS-PAGE	168	19127444	63000.0
SDS-PAGE	169	19127444	63000.0
SDS-PAGE	170	19127444	63000.0
SDS-PAGE	171	19127444	63000.0
1 	179	15126701	59400.0
1 	179	15126701	62700.0
1 	179	15126701	66000.0
native PAGE	179	15126701	176500.0
gel filtration	179	15126701	200000.0
1 	180	15126701	59400.0
1 	180	15126701	62700.0
1 	180	15126701	66000.0
native PAGE	180	15126701	176500.0
gel filtration	180	15126701	200000.0
1 	181	15126701	59400.0
1 	181	15126701	62700.0
1 	181	15126701	66000.0
native PAGE	181	15126701	176500.0
gel filtration	181	15126701	200000.0
1 	182	15126701	59400.0
1 	182	15126701	62700.0
1 	182	15126701	66000.0
native PAGE	182	15126701	176500.0
gel filtration	182	15126701	200000.0
SDS-PAGE	197	15135402	83000.0
SDS-PAGE	198	15135402	83000.0
SDS-PAGE	199	15135402	83000.0
SDS-PAGE	200	15135402	83000.0
SDS-PAGE	201	15135402	83000.0
SDS-PAGE	202	15135402	83000.0
x 	238	8742337	43000.0
x 	239	8742337	43000.0
gel filtration	291	20801645	150000.0 - 200000.0
gel filtration	292	20801645	150000.0 - 200000.0
gel filtration	293	20801645	150000.0 - 200000.0
gel filtration	294	20801645	150000.0 - 200000.0
gel filtration	295	20801645	150000.0 - 200000.0
gel filtration	296	20801645	150000.0 - 200000.0
gel-filtration	538	0	60000.0
SDS-PAGE	538	0	64000.0
1 	538	11457968	64000.0
gel-filtration	539	0	60000.0
SDS-PAGE	539	0	64000.0
1 	539	11457968	64000.0
gel-filtration	540	0	60000.0
SDS-PAGE	540	0	64000.0
1 	540	11457968	64000.0
gel-filtration	541	0	60000.0
SDS-PAGE	541	0	64000.0
1 	541	11457968	64000.0
gel-filtration	542	0	60000.0
SDS-PAGE	542	0	64000.0
1 	542	11457968	64000.0
gel-filtration	543	0	60000.0
SDS-PAGE	543	0	64000.0
1 	543	11457968	64000.0
gel-filtration	544	0	60000.0
SDS-PAGE	544	0	64000.0
1 	544	11457968	64000.0
gel-filtration	545	0	60000.0
SDS-PAGE	545	0	64000.0
1 	545	11457968	64000.0
gel-filtration	546	0	60000.0
SDS-PAGE	546	0	64000.0
1 	546	11457968	64000.0
gel-filtration	547	0	60000.0
SDS-PAGE	547	0	64000.0
1 	547	11457968	64000.0
gel-filtration	548	0	60000.0
SDS-PAGE	548	0	64000.0
1 	548	11457968	64000.0
x 	889	0	33000.0
x 	890	0	33000.0
x 	891	0	33000.0
x 	892	0	33000.0
2 	934	21067917	125000.0
gel filtration	934	21067917	250000.0
2 	935	21067917	125000.0
gel filtration	935	21067917	250000.0
2 	936	21067917	125000.0
gel filtration	936	21067917	250000.0
2 	937	21067917	125000.0
gel filtration	937	21067917	250000.0
2 	938	21067917	125000.0
gel filtration	938	21067917	250000.0
2 	939	21067917	125000.0
gel filtration	939	21067917	250000.0
1 	979	12086179	125000.0
gel filtration	979	12086179	126000.0
1 	980	12086179	125000.0
