Commentary	Ref	Literature(PubmedID)	value
pH 4.6	76	12974403	55.0
	167	19127444	50.0
	168	19127444	50.0
	169	19127444	50.0
	170	19127444	50.0
	171	19127444	50.0
enzyme retains 35.9% and 25.8% activities after 4 h at 50 and 55&Acirc;&ordm;C, respectively	179	15126701	60.0
enzyme retains 35.9% and 25.8% activities after 4 h at 50 and 55&Acirc;&ordm;C, respectively	180	15126701	60.0
enzyme retains 35.9% and 25.8% activities after 4 h at 50 and 55&Acirc;&ordm;C, respectively	181	15126701	60.0
enzyme retains 35.9% and 25.8% activities after 4 h at 50 and 55&Acirc;&ordm;C, respectively	182	15126701	60.0
pH 5.5	197	15135402	55.0
pH 5.5	198	15135402	55.0
pH 5.5	199	15135402	55.0
pH 5.5	200	15135402	55.0
pH 5.5	201	15135402	55.0
pH 5.5	202	15135402	55.0
	287	11837654	65.0
	288	11837654	65.0
	289	11837654	65.0
inulin	538	0	35.0
inulin	539	0	35.0
inulin	540	0	35.0
inulin	541	0	35.0
inulin	542	0	35.0
inulin	543	0	35.0
inulin	544	0	35.0
inulin	545	0	35.0
inulin	546	0	35.0
inulin	547	0	35.0
inulin	548	0	35.0
	647	17345128	50.0
	934	18051293	50.0
the optimal temperature for levan and Agave tequilana fructan hydrolysis is 50°C	934	21067917	50.0
the optimal temperature for inulin, Actilight and sucrose hydrolysis is 55°C	934	21067917	55.0
	935	18051293	50.0
the optimal temperature for levan and Agave tequilana fructan hydrolysis is 50°C	935	21067917	50.0
the optimal temperature for inulin, Actilight and sucrose hydrolysis is 55°C	935	21067917	55.0
	936	18051293	50.0
the optimal temperature for levan and Agave tequilana fructan hydrolysis is 50°C	936	21067917	50.0
the optimal temperature for inulin, Actilight and sucrose hydrolysis is 55°C	936	21067917	55.0
	937	18051293	50.0
the optimal temperature for levan and Agave tequilana fructan hydrolysis is 50°C	937	21067917	50.0
the optimal temperature for inulin, Actilight and sucrose hydrolysis is 55°C	937	21067917	55.0
	938	18051293	50.0
the optimal temperature for levan and Agave tequilana fructan hydrolysis is 50°C	938	21067917	50.0
the optimal temperature for inulin, Actilight and sucrose hydrolysis is 55°C	938	21067917	55.0
	939	18051293	50.0
the optimal temperature for levan and Agave tequilana fructan hydrolysis is 50°C	939	21067917	50.0
the optimal temperature for inulin, Actilight and sucrose hydrolysis is 55°C	939	21067917	55.0
	979	12086179	25.0
	980	12086179	25.0
crude inulinase	1097	17111131	60.0
	1097	17345128	60.0
crude inulinase	1098	17111131	60.0
	1098	17345128	60.0
crude inulinase	1099	17111131	60.0
	1099	17345128	60.0
	1253	17345128	50.0
	1253	18456943	50.0
	1254	17345128	50.0
	1254	18456943	50.0
	1255	17345128	50.0
	1255	18456943	50.0
	1293	18065000	60.0
pH 5.0	1305	12400688	55.0
substrate: inulin, InuE:D' hybrid	1305	17502268	55.0
substrate: inulin or sucrose, recombinant enzyme InuE; substrate: sucrose, InuE:D' hybrid	1305	17502268	60.0
pH 5.0	1306	12400688	55.0
substrate: inulin, InuE:D' hybrid	1306	17502268	55.0
substrate: inulin or sucrose, recombinant enzyme InuE; substrate: sucrose, InuE:D' hybrid	1306	17502268	60.0
pH 5.0	1307	12400688	55.0
substrate: inulin, InuE:D' hybrid	1307	17502268	55.0
substrate: inulin or sucrose, recombinant enzyme InuE; substrate: sucrose, InuE:D' hybrid	1307	17502268	60.0
pH 5.0	1308	12400688	55.0
substrate: inulin, InuE:D' hybrid	1308	17502268	55.0
substrate: inulin or sucrose, recombinant enzyme InuE; substrate: sucrose, InuE:D' hybrid	1308	17502268	60.0
pH 5.0	1309	12400688	55.0
substrate: inulin, InuE:D' hybrid	1309	17502268	55.0
substrate: inulin or sucrose, recombinant enzyme InuE; substrate: sucrose, InuE:D' hybrid	1309	17502268	60.0
pH 5.0	1310	12400688	55.0
substrate: inulin, InuE:D' hybrid	1310	17502268	55.0
substrate: inulin or sucrose, recombinant enzyme InuE; substrate: sucrose, InuE:D' hybrid	1310	17502268	60.0
	1333	21317211	30.0
	1334	21317211	30.0
	1335	21317211	30.0
	1336	21317211	30.0
	1337	21317211	30.0
levan	1658	1522814	55.0
levan	1659	1522814	55.0
levan	1660	1522814	55.0
levan	1661	1522814	55.0
levan	1662	1522814	55.0
levan	1663	1522814	55.0
levan	1664	1522814	55.0
	1680	3965399	50.0
	1681	3965399	50.0
	1682	3965399	50.0
	1683	3965399	50.0
	1684	3965399	50.0
	1817	24128552	60.0
	1818	24128552	60.0
	1819	24128552	60.0
	1820	24128552	60.0
	1821	24128552	60.0
both isoforms w1 and w2	1878	12586886	30.0 - 40.0
both isoforms w1 and w2	1879	12586886	30.0 - 40.0
both isoforms w1 and w2	1880	12586886	30.0 - 40.0
both isoforms w1 and w2	1881	12586886	30.0 - 40.0
both isoforms w1 and w2	1882	12586886	30.0 - 40.0
both isoforms w1 and w2	1883	12586886	30.0 - 40.0
both isoforms w1 and w2	1884	12586886	30.0 - 40.0
both isoforms w1 and w2	1885	12586886	30.0 - 40.0
both isoforms w1 and w2	1886	12586886	30.0 - 40.0
both isoforms w1 and w2	1887	12586886	30.0 - 40.0
assay at	1996	6468391	30.0
assay at	1997	6468391	30.0
