EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Literature(PubmedID)	Ref
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Abyssoprimnoa gemina	FRENDA	23604561	0
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acanthotomicus fortis	FRENDA	20681629	1
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acarospora oligospora	FRENDA	23661195	2
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Achaetomium	FRENDA	26327390	3
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Achatina fulica	FRENDA	23133637	4
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acholeplasma laidlawii PG-8A	AMENDA reliability +	22982171	5
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acidobacterium capsulatum	AMENDA reliability +++	22367201	6
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acidothermus cellulolyticus	FRENDA	23700177; 23040386	7
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acidothermus cellulolyticus	AMENDA reliability +++	24316824	8
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acidothermus cellulolyticus	AMENDA reliability +	21269444; 25084383	9
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acidothermus cellulolyticus 11B	AMENDA reliability +	26506341	10
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acinetobacter	FRENDA	25150536	11
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acremonium	FRENDA	25138599	12
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinobacillus pleuropneumoniae	FRENDA	26280561	13
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinobacillus pleuropneumoniae	AMENDA reliability +	28652150	14
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinobacteria	FRENDA	25129234; 24069019; 25710367; 25392912; 28892642; 24797613; 26109134; 27936240; 16885460; 25887697	15
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinobacteria bacterium	FRENDA	27555310; 22487213; 27302067	16
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinochloris sphaerica	AMENDA reliability +	20228117	17
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinomyces naeslundii	T14V	7828936	18
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinomyces naeslundii	AMENDA reliability +	8937647	19
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinomyces naeslundii T14V	T14V	7828936	20
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinomyces naeslundii T14V	AMENDA reliability +++	8937647	21
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinomyces viscosus	AMENDA reliability +	11179653	22
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinomycetales	FRENDA	25028422	23
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinoplanes	FRENDA	26549237	24
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinoplanes liguriensis	FRENDA	26549237	25
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinoplanes missouriensis	FRENDA	26549237	26
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actinosynnema mirum	FRENDA	22911093	27
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Actophilornis africanus	FRENDA	22673029	28
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acyrthosiphon pisum	AMENDA reliability +	26896054	29
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Acyrthosiphon pisum	FRENDA	17368194	30
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Adineta ricciae	AMENDA reliability +	25863176	31
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Adineta vaga	AMENDA reliability +	25863176	32
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aeromonas	FRENDA	24031567	33
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aeromonas caviae	AMENDA reliability +	16511010	34
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aeromonas hydrophila	FRENDA	25929240	35
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aeromonas veronii	FRENDA	25929240	36
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agapanthus africanus	FRENDA	22673029	37
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agaricus	FRENDA	21791957	38
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agaricus arvensis	FRENDA	21791957	39
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agarivorans	FRENDA	22805951; 19484308	40
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agarivorans	AMENDA reliability +++	23221532	41
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agarivorans	AMENDA reliability +	17028783; 18189120; 100105810; 100519635	42
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agarivorans albus MKT 106	FRENDA	27743343	43
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agarivorans albus YKW-34	FRENDA	18071641; 19349750	44
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agarivorans gilvus	FRENDA	28817933	45
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agave	AMENDA reliability +	25432071	46
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agave	AMENDA reliability +++	26300895	47
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agave sisalana	FRENDA	24584459	48
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agave tequilana	FRENDA	23941710; 21067917; 22336744	49
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agave tequilana Weber	AMENDA reliability +	25432071	50
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aggregatibacter actinomycetemcomitans	FRENDA	26280561; 27697516	51
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aggregatibacter actinomycetemcomitans	AMENDA reliability +	19133500; 15878175	52
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agrobacterium	AMENDA reliability ++	17191477	53
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agrobacterium radiobacter K84	AMENDA reliability +	20503105	54
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agrobacterium sp.	AMENDA reliability +	23583451	55
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agrobacterium tumefaciens	FRENDA	26057169	56
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agrobacterium tumefaciens F2	FRENDA	22226947	57
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Agrobacterium vitis	FRENDA	18607098	58
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Ailuropoda melanoleuca	FRENDA	22006317	59
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alectoria cf. fallacina	FRENDA	16609814	60
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aleyrodidae	FRENDA	26896054	61
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alicyclobacillus	AMENDA reliability +	26628911	62
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alicyclobacillus	FRENDA	20070105	63
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alicyclobacillus acidocaldarius	AMENDA reliability +	18068682; 20070105; 18755688; 19729024	64
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alicyclobacillus acidocaldarius	FRENDA	16609814; 25545469; 12919323	65
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alicyclobacillus acidocaldarius Tc-12-31	FRENDA	18755688	66
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alicyclobacillus vulcanalis	FRENDA	25722023	67
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alkalimonas amylolytica	FRENDA	17068753	68
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alkaliphilus metalliredigens QYMF	FRENDA	23053115	69
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Allium cepa	va Tenshin	100125377	70
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Allium cepa	FRENDA	100125377; 100128592; 18821058	71
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Allium sativum	AMENDA reliability ++	12086179	72
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Allium sativum	AMENDA reliability +	100554820	73
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alphaproteobacteria	FRENDA	25028422; 28070679; 24983351	74
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alternaria	AMENDA reliability +	28901098	75
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alternaria alternata	(Fr.) Keissler	12974403	76
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alteromonas	FRENDA	10818359; 11493601; 20681629	77
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Alticini	FRENDA	24799680	78
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Amoeba	FRENDA	24385905; 27037126; 27037126; 29128403	79
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Amoebozoa	FRENDA	27037126; 27037126	80
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Amphibacillus xylanus	FRENDA	28648176	81
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Ampullaria crossean	AMENDA reliability +	26921188; 28711732	82
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Ampullaria crossean	FRENDA	17952442; 17852330	83
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Amycolatopsis orientalis	FRENDA	16316314	84
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Amycolatopsis orientalis	AMENDA reliability +	18976664	85
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Amylomyces rouxii	FRENDA	23180124	86
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Anabaena	FRENDA	17292397; 20228117	87
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Anaerocellum	FRENDA	24466756	88
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Anguilla anguilla	FRENDA	16987809	89
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Anguilla anguilla	AMENDA reliability +	12634060	90
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		animal	AMENDA reliability ++	24655383	91
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		animal	FRENDA	27821068; 18004711; 22112614; 27220661; 22036533; 22479408; 23365392; 23842652; 25107973; 26314305; 26715630; 27618962; 28220903; 28611745; 17594485; 25228469; 27154042; 18388456; 21120468; 23733951; 29500753; 26596358; 19454320; 19318052; 19566942; 22934241; 25208077	92
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		animal	AMENDA reliability +	25841058; 27451952; 22090394; 10824111; 25887697	93
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Anopheles gambiae	FRENDA	24842809	94
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Anoxybacillus	FRENDA	27695995; 16310726; 29493906	95
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		antarctic bacterium	AMENDA reliability +	16605248	96
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aphelenchoides besseyi	AMENDA reliability +	27391812	97
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aphelenchoididae	AMENDA reliability +	24690293	98
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aphididae	FRENDA	26896054; 17368194	99
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Apis mellifera	AMENDA reliability +	23047117	100
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Apis mellifera	FRENDA	17827701	101
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Apriona germari	AMENDA reliability +	15364293; 15763510; 15721311; 16731340; 16945565	102
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Apriona germari	FRENDA	23201420	103
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Apriona japonica	AMENDA reliability +	24657889	104
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Apus apus	FRENDA	23751305	105
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aquimarina agarilytica	FRENDA	28204471	106
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aquimarina agarilytica ZC1	AMENDA reliability +	28204471	107
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis	AMENDA reliability ++++	17873089	108
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis	FRENDA	26717955; 18495185; 21170548; 23308094; 16788054; 16891302; 16814332; 19783642; 29614441; 15604686; 17466346	109
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis	AMENDA reliability +	26706067; 22929090; 25468534; 27956490; 20377688; 20973991; 27135517	110
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis thaliana		0; 15501176	111
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis thaliana	AMENDA reliability ++	17888113	112
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis thaliana	FRENDA	26717955; 26706067; 17526915; 18495185; 25468534; 28663545; 16814332; 26084671; 29614441; 12681519	113
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arabidopsis thaliana	AMENDA reliability +	19129163; 26267297; 19682075; 24327260; 15604686; 17466346; 20973991; 27135517	114
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase	Q67XZ3	Arabidopsis thaliana		17873089	115
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Archaea	AMENDA reliability +	25712767; 20139321; 23826932; 24109595; 11141191; 16547025; 18586271; 28163025	116
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Archaea	FRENDA	28890400; 19271205; 26006747; 27621728; 22209489; 22527043; 28781080; 15870372; 25979886; 21786160; 23133637; 16885460; 20427274; 22223643; 26191525; 16887613; 27582034	117
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		archaeon	FRENDA	20980336; 12911294; 16151092; 16511229; 16885460; 17468058; 16547025; 19154353; 18156337; 22902546; 23884203; 15456402; 24835094; 26191525; 15456402; 28163025	118
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		archaeon	AMENDA reliability +	15466542; 20427274; 22442235; 22569255; 21624508; 25005081; 25005081; 23789737; 11898335	119
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		archaeon	AMENDA reliability +++	21104698; 27582034; 28703279	120
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arcopilus cupreus	FRENDA	27854040; 27854040	121
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arctium lappa		21463533	122
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Areas	AMENDA reliability +	19622545	123
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Areas	FRENDA	25150536; 22112413; 22243654; 27284957; 28070679; 12634058	124
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Argentina	AMENDA reliability ++	19789892	125
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arion ater	AMENDA reliability +	25150536	126
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Armillaria gemina	FRENDA	23604561	127
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Armillaria tabescens	FRENDA	19777823	128
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aroma	AMENDA reliability +	100014484	129
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Aroma	FRENDA	18613689; 18673394; 24753293	130
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Artemisia heptapotamica	AMENDA reliability +	16870154	131
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Artemisia heptapotamica	FRENDA	16781735; 26249707	132
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Artemisia herba-alba subsp. valentina	FRENDA	26297820	133
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Artemisia maritima subsp. incana	FRENDA	22446850	134
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arthrobacter	FRENDA	25695343; 15618624; 15248038	135
3.2.1.80	beta-D-fructan fructohydrolase	fructan beta-fructosidase		Arthrobacter	AMENDA reliability +	17567654	136
