Commentary	Ref	Literature(PubmedID)	Inhibitor	value
	291	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	291	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	291	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	291	18341251	etoposide	0.17
	291	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	291	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	291	18341251	5-amino-4-phenylbenzoxazole	0.58
	292	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	292	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	292	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	292	18341251	etoposide	0.17
	292	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	292	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	292	18341251	5-amino-4-phenylbenzoxazole	0.58
	293	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	293	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	293	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	293	18341251	etoposide	0.17
	293	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	293	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	293	18341251	5-amino-4-phenylbenzoxazole	0.58
	294	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	294	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	294	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	294	18341251	etoposide	0.17
	294	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	294	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	294	18341251	5-amino-4-phenylbenzoxazole	0.58
	295	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	295	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	295	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	295	18341251	etoposide	0.17
	295	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	295	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	295	18341251	5-amino-4-phenylbenzoxazole	0.58
	296	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	296	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	296	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	296	18341251	etoposide	0.17
	296	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	296	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	296	18341251	5-amino-4-phenylbenzoxazole	0.58
	297	18341251	2-(p-nitrobenzyl)benzoxazole	0.0174
	297	18341251	5-chloro-2-(4-methylphenyl)benzoxazole	0.0223
	297	18341251	5-nitro-2-(4-nitrobenzyl)benzoxazole	0.09141
	297	18341251	etoposide	0.17
	297	18341251	5-amino-4-(p-methylbenzyl)benzoxazole	0.1867
	297	18341251	5-amino-4-(p-fluorophenyl)benzoxazole	0.4878
	297	18341251	5-amino-4-phenylbenzoxazole	0.58
in CHO-XRS6 cells	556	19047165	F14512	2.6E-7
in CHO-K1 cells	556	19047165	F14512	1.09E-5
in CHO cells	556	19047165	F14512	1.2E-4
in CHO-K1 cells	556	19047165	etoposide	1.94E-4
in CHO-XRS6 cells	556	19047165	etoposide	4.18E-4
in CHO-MG cells	556	19047165	F14512	0.0087
	556	18541453	(-)-epicatechin	0.0372
	556	18541453	(+)-catechin	0.046
	556	18541453	(-)-epigallocatechin	3.61
	556	18541453	(-)-epigallocatechin-3-gallate	3.78
in CHO-XRS6 cells	557	19047165	F14512	2.6E-7
in CHO-K1 cells	557	19047165	F14512	1.09E-5
in CHO cells	557	19047165	F14512	1.2E-4
in CHO-K1 cells	557	19047165	etoposide	1.94E-4
in CHO-XRS6 cells	557	19047165	etoposide	4.18E-4
in CHO-MG cells	557	19047165	F14512	0.0087
	557	18541453	(-)-epicatechin	0.0372
	557	18541453	(+)-catechin	0.046
	557	18541453	(-)-epigallocatechin	3.61
