Commentary	Substrate	Ref	Literature(PubmedID)	value
kinetics	more	124	100125571	-999.0
kinetics	more	125	100125571	-999.0
kinetics	more	126	100125571	-999.0
kinetics	more	127	100125571	-999.0
kinetics	more	128	100125571	-999.0
kinetics	more	129	100125571	-999.0
kinetics	more	130	100125571	-999.0
kinetics	more	131	100125571	-999.0
relaxation reaction	ATP	291	3023077	0.14
ATPase reaction	ATP	291	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	291	2982821	0.4
relaxation reaction	dATP	291	3023077	0.5
relaxation reaction	ATP	292	3023077	0.14
ATPase reaction	ATP	292	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	292	2982821	0.4
relaxation reaction	dATP	292	3023077	0.5
relaxation reaction	ATP	293	3023077	0.14
ATPase reaction	ATP	293	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	293	2982821	0.4
relaxation reaction	dATP	293	3023077	0.5
relaxation reaction	ATP	294	3023077	0.14
ATPase reaction	ATP	294	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	294	2982821	0.4
relaxation reaction	dATP	294	3023077	0.5
relaxation reaction	ATP	295	3023077	0.14
ATPase reaction	ATP	295	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	295	2982821	0.4
relaxation reaction	dATP	295	3023077	0.5
relaxation reaction	ATP	296	3023077	0.14
ATPase reaction	ATP	296	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	296	2982821	0.4
relaxation reaction	dATP	296	3023077	0.5
relaxation reaction	ATP	297	3023077	0.14
ATPase reaction	ATP	297	2982821	0.2
in presence of supercoiled plasmid DNA	ATP	297	2982821	0.4
relaxation reaction	dATP	297	3023077	0.5
DNA cleavage kinetics	more	469	16285742	-999.0
	ATP	675	2986908	0.28
	dATP	675	2986908	0.63
	ATP	676	2986908	0.28
	dATP	676	2986908	0.63
	ATP	677	2986908	0.28
	dATP	677	2986908	0.63
	ATP	678	2986908	0.28
	dATP	678	2986908	0.63
	ATP	679	2986908	0.28
	dATP	679	2986908	0.63
	ATP	680	2986908	0.28
	dATP	680	2986908	0.63
	ATP	681	2986908	0.28
	dATP	681	2986908	0.63
	ATP	682	2986908	0.28
	dATP	682	2986908	0.63
Km for double-stranded DNA is 0.0015 mg/ml, 0.0045 mM nucleotides	more	808	6312256	-999.0
Km for double-stranded DNA is 0.0015 mg/ml, 0.0045 mM nucleotides	more	809	6312256	-999.0
Km for double-stranded DNA is 0.0015 mg/ml, 0.0045 mM nucleotides	more	810	6312256	-999.0
Km for double-stranded DNA is 0.0015 mg/ml, 0.0045 mM nucleotides	more	811	6312256	-999.0
Km for double-stranded DNA is 0.0015 mg/ml, 0.0045 mM nucleotides	more	812	6312256	-999.0
Km for double-stranded DNA is 0.0015 mg/ml, 0.0045 mM nucleotides	more	813	6312256	-999.0
ATP hydrolysis kinetics for wild-type and Y50F mutant enzyme	more	984	15647268	-999.0
pH 8.0, temperature not specified in the publication, recombinant topo2alpha	Supercoiled DNA	984	20709174	1.2E-6
pH 7.7, 37°C, DNA passage, mutant R162Q	DNA	984	16053917	0.21
pH 7.7, 30°C, recombinant Y50F mutant enzyme	ATP	984	15647268	0.3
pH 7.7, 37°C, DNA passage, mutant Y165S	DNA	984	16053917	0.3
pH 7.7, 37°C, DNA passage, wild-type enzyme	DNA	984	16053917	0.39
pH 7.7, 30°C, recombinant wild-type enzyme	ATP	984	15647268	0.5
pH 7.7, 37°C, DNA passage, mutant L169I	DNA	984	16053917	0.55
pH 7.7, 37°C, DNA passage, mutant R162K	DNA	984	16053917	0.61
pH 7.7, 37°C, DNA passage, mutant L169F	DNA	984	16053917	0.94
ATP hydrolysis kinetics for wild-type and Y50F mutant enzyme	more	985	15647268	-999.0
pH 8.0, temperature not specified in the publication, recombinant topo2alpha	Supercoiled DNA	985	20709174	1.2E-6
pH 7.7, 37°C, DNA passage, mutant R162Q	DNA	985	16053917	0.21
pH 7.7, 30°C, recombinant Y50F mutant enzyme	ATP	985	15647268	0.3
pH 7.7, 37°C, DNA passage, mutant Y165S	DNA	985	16053917	0.3
pH 7.7, 37°C, DNA passage, wild-type enzyme	DNA	985	16053917	0.39
