Commentary	Ref	Literature(PubmedID)	value
1 	291	2982821	125000.0
1 	291	2982821	140000.0
1 	291	3023077	150000.0
glycerol gradient centrifugation	291	14519130	150000.0
1 	291	3023077	175000.0
gel filtration	291	2982821	277000.0
gel filtration	291	3023077	300000.0
1 	292	2982821	125000.0
1 	292	2982821	140000.0
1 	292	3023077	150000.0
glycerol gradient centrifugation	292	14519130	150000.0
1 	292	3023077	175000.0
gel filtration	292	2982821	277000.0
gel filtration	292	3023077	300000.0
1 	293	2982821	125000.0
1 	293	2982821	140000.0
1 	293	3023077	150000.0
glycerol gradient centrifugation	293	14519130	150000.0
1 	293	3023077	175000.0
gel filtration	293	2982821	277000.0
gel filtration	293	3023077	300000.0
1 	294	2982821	125000.0
1 	294	2982821	140000.0
1 	294	3023077	150000.0
glycerol gradient centrifugation	294	14519130	150000.0
1 	294	3023077	175000.0
gel filtration	294	2982821	277000.0
gel filtration	294	3023077	300000.0
1 	295	2982821	125000.0
1 	295	2982821	140000.0
1 	295	3023077	150000.0
glycerol gradient centrifugation	295	14519130	150000.0
1 	295	3023077	175000.0
gel filtration	295	2982821	277000.0
gel filtration	295	3023077	300000.0
1 	296	2982821	125000.0
1 	296	2982821	140000.0
1 	296	3023077	150000.0
glycerol gradient centrifugation	296	14519130	150000.0
1 	296	3023077	175000.0
gel filtration	296	2982821	277000.0
gel filtration	296	3023077	300000.0
1 	297	2982821	125000.0
1 	297	2982821	140000.0
1 	297	3023077	150000.0
glycerol gradient centrifugation	297	14519130	150000.0
1 	297	3023077	175000.0
gel filtration	297	2982821	277000.0
gel filtration	297	3023077	300000.0
x 	556	2550059	170000.0
x 	557	2550059	170000.0
x 	558	2550059	170000.0
x 	559	2550059	170000.0
x 	560	2550059	170000.0
x 	561	2550059	170000.0
x 	562	2550059	170000.0
2 	566	2536375	132000.0
gel filtration, glycerol density gradient sedimentation	566	2536375	264000.0
2 	567	2536375	132000.0
gel filtration, glycerol density gradient sedimentation	567	2536375	264000.0
2 	568	2536375	132000.0
gel filtration, glycerol density gradient sedimentation	568	2536375	264000.0
2 	569	2536375	132000.0
gel filtration, glycerol density gradient sedimentation	569	2536375	264000.0
2 	570	2536375	132000.0
gel filtration, glycerol density gradient sedimentation	570	2536375	264000.0
2 	571	2536375	132000.0
gel filtration, glycerol density gradient sedimentation	571	2536375	264000.0
2 	625	0	70000.0
glycerol gradient centrifugation	625	0	123000.0
2 	626	0	70000.0
glycerol gradient centrifugation	626	0	123000.0
electrophoresis under denaturing conditions	642	2834207	135000.0
electrophoresis under denaturing conditions	643	2834207	135000.0
2 	675	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	675	6308010	261000.0
2 	676	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	676	6308010	261000.0
2 	677	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	677	6308010	261000.0
2 	678	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	678	6308010	261000.0
2 	679	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	679	6308010	261000.0
2 	680	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	680	6308010	261000.0
2 	681	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	681	6308010	261000.0
2 	682	6308010	166000.0
gel filtration, glycerol density gradient centrifugation	682	6308010	261000.0
2 	768	2559654	89835.0
2 	768	2986908	95000.0
2 	768	2559654	97000.0
2 	768	2986908	105000.0
	768	2986908	400000.0
	768	0	400000.0
2 	769	2559654	89835.0
2 	769	2986908	95000.0
2 	769	2559654	97000.0
2 	769	2986908	105000.0
	769	2986908	400000.0
	769	0	400000.0
2 	770	2559654	89835.0
2 	770	2986908	95000.0
2 	770	2559654	97000.0
2 	770	2986908	105000.0
	770	2986908	400000.0
	770	0	400000.0
2 	771	2559654	89835.0
2 	771	2986908	95000.0
2 	771	2559654	97000.0
2 	771	2986908	105000.0
	771	2986908	400000.0
	771	0	400000.0
2 	772	2559654	89835.0
2 	772	2986908	95000.0
2 	772	2559654	97000.0
2 	772	2986908	105000.0
	772	2986908	400000.0
	772	0	400000.0
2 	773	2559654	89835.0
2 	773	2986908	95000.0
2 	773	2559654	97000.0
2 	773	2986908	105000.0
	773	2986908	400000.0
	773	0	400000.0
2 	774	2559654	89835.0
2 	774	2986908	95000.0
2 	774	2559654	97000.0
2 	774	2986908	105000.0
	774	2986908	400000.0
	774	0	400000.0
2 	775	2559654	89835.0
2 	775	2986908	95000.0
2 	775	2559654	97000.0
2 	775	2986908	105000.0
	775	2986908	400000.0
	775	0	400000.0
2 	808	6312256	18000.0
2 	808	6312256	48000.0
2 	808	6312256	57000.0
