Commentary	Ref	Literature(PubmedID)	value
wild-type and mutant enzymes	6	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	50.0 - 60.0
wild-type and mutant enzymes	7	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	50.0 - 60.0
wild-type and mutant enzymes	8	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	50.0 - 60.0
wild-type and mutant enzymes	9	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	50.0 - 60.0
	10	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	11	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	12	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	13	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	90.0
	18	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	18	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
	19	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	19	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
	20	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	20	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
	21	https://www.ncbi.nlm.nih.gov/pubmed/?term=10989179	55.0
	21	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	55.0 - 60.0
recombinant XynS14	30	https://www.ncbi.nlm.nih.gov/pubmed/?term=21269876	80.0
	49	https://www.brenda-enzymes.org/literature.php?r=171652	45.0
	52	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	55.0
	52	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	60.0
	53	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	55.0
	53	https://www.ncbi.nlm.nih.gov/pubmed/?term=26628911	60.0
	60	https://www.ncbi.nlm.nih.gov/pubmed/?term=18597051	50.0
assay at	62	https://www.ncbi.nlm.nih.gov/pubmed/?term=25784958	37.0
recombinant EGXA with xylan as substrate	66	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	45.0
recombinant EGXA with xylan as substrate	67	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	45.0
recombinant EGXA with xylan as substrate	68	https://www.ncbi.nlm.nih.gov/pubmed/?term=18989576	45.0
assay at	96	https://www.ncbi.nlm.nih.gov/pubmed/?term=25784958	37.0
	97	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	45.0
	98	https://www.ncbi.nlm.nih.gov/pubmed/?term=25331377	45.0
both isoforms xyl I, xyl II	116	https://www.brenda-enzymes.org/literature.php?r=666701	50.0 - 55.0
	118	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	55.0
	119	https://www.ncbi.nlm.nih.gov/pubmed/?term=15715941	55.0
	128	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	128	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	128	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	128	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	128	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	128	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	129	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	129	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	129	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	130	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	130	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	130	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	131	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	131	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	131	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
	132	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	132	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	132	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	132	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	132	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	132	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
	133	https://www.ncbi.nlm.nih.gov/pubmed/?term=26847222	50.0
wild-type and mutants S68R and Q47P/S159R	133	https://www.brenda-enzymes.org/literature.php?r=738888	50.0
mutant A60D	133	https://www.brenda-enzymes.org/literature.php?r=738888	60.0
mutant T16A/T39I/L176Q	133	https://www.brenda-enzymes.org/literature.php?r=738888	70.0
	133	https://www.ncbi.nlm.nih.gov/pubmed/?term=24031929	70.0
	133	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	90.0
