Commentary	Ref	Literature(PubmedID)	value
	6	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	25.0 - 70.0
	7	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	25.0 - 70.0
	8	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	25.0 - 70.0
	9	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	25.0 - 70.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	10	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	11	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	12	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	13	https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	60.0 - 100.0
rapid decline of activity at 65°C	18	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
rapid decline of activity at 65°C	19	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
rapid decline of activity at 65°C	20	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
rapid decline of activity at 65°C	21	https://www.ncbi.nlm.nih.gov/pubmed/?term=12829303	50.0 - 65.0
XynA4 shows over 50% of maximal activity within this range	52	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	40.0 - 65.0
XynA4 shows over 50% of maximal activity within this range	53	https://www.ncbi.nlm.nih.gov/pubmed/?term=19916085	40.0 - 65.0
	60	https://www.ncbi.nlm.nih.gov/pubmed/?term=18597051	50.0 - 55.0
	128	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	129	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	130	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	131	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	132	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
	133	https://www.ncbi.nlm.nih.gov/pubmed/?term=100112400	30.0 - 70.0
activity range, profile, overview	164	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	164	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	164	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	165	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	165	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	165	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	166	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	166	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	166	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	167	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	167	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	167	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	168	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	168	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	168	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	169	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	169	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	169	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	170	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	170	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	170	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	171	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	171	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	171	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	172	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	172	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	172	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	173	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
more than 68% of maximum activity	173	https://www.ncbi.nlm.nih.gov/pubmed/?term=23670313	35.0 - 68.0
activity at 50°C is about 20% higher compared to activity at 70°C	173	https://www.ncbi.nlm.nih.gov/pubmed/?term=23241981	50.0 - 70.0
activity range, profile, overview	174	https://www.ncbi.nlm.nih.gov/pubmed/?term=100069532	30.0 - 70.0
