Commentary	Ref	Literature(PubmedID)	value
	80	0	6.5-8.8
	81	0	6.5-8.8
	82	0	6.5-8.8
	87	0	6.5-8.8
	145	4340512	6.3-8.8
	145	0	6.5-8.8
	145	14240635	7.0
assay at	145	17569004	7.0
assay at	145	17650099	7.5
	146	4340512	6.3-8.8
	146	0	6.5-8.8
	146	14240635	7.0
assay at	146	17569004	7.0
assay at	146	17650099	7.5
	147	4340512	6.3-8.8
	147	0	6.5-8.8
	147	14240635	7.0
assay at	147	17569004	7.0
assay at	147	17650099	7.5
	148	4340512	6.3-8.8
	148	0	6.5-8.8
	148	14240635	7.0
assay at	148	17569004	7.0
assay at	148	17650099	7.5
	149	4340512	6.3-8.8
	149	0	6.5-8.8
	149	14240635	7.0
assay at	149	17569004	7.0
assay at	149	17650099	7.5
	150	4340512	6.3-8.8
	150	0	6.5-8.8
	150	14240635	7.0
assay at	150	17569004	7.0
assay at	150	17650099	7.5
	151	4340512	6.3-8.8
	151	0	6.5-8.8
	151	14240635	7.0
assay at	151	17569004	7.0
assay at	151	17650099	7.5
	152	4340512	6.3-8.8
	152	0	6.5-8.8
	152	14240635	7.0
assay at	152	17569004	7.0
assay at	152	17650099	7.5
	153	4340512	6.3-8.8
	153	0	6.5-8.8
	153	14240635	7.0
assay at	153	17569004	7.0
assay at	153	17650099	7.5
	154	4340512	6.3-8.8
	154	0	6.5-8.8
	154	14240635	7.0
assay at	154	17569004	7.0
assay at	154	17650099	7.5
	155	4340512	6.3-8.8
	155	0	6.5-8.8
	155	14240635	7.0
assay at	155	17569004	7.0
assay at	155	17650099	7.5
	156	4340512	6.3-8.8
	156	0	6.5-8.8
	156	14240635	7.0
assay at	156	17569004	7.0
assay at	156	17650099	7.5
	157	4340512	6.3-8.8
	157	0	6.5-8.8
	157	14240635	7.0
assay at	157	17569004	7.0
assay at	157	17650099	7.5
	158	4340512	6.3-8.8
	158	0	6.5-8.8
	158	14240635	7.0
assay at	158	17569004	7.0
assay at	158	17650099	7.5
	159	4340512	6.3-8.8
	159	0	6.5-8.8
	159	14240635	7.0
assay at	159	17569004	7.0
assay at	159	17650099	7.5
	160	4340512	6.3-8.8
	160	0	6.5-8.8
	160	14240635	7.0
assay at	160	17569004	7.0
assay at	160	17650099	7.5
	161	4340512	6.3-8.8
	161	0	6.5-8.8
	161	14240635	7.0
assay at	161	17569004	7.0
assay at	161	17650099	7.5
	162	4340512	6.3-8.8
	162	0	6.5-8.8
	162	14240635	7.0
assay at	162	17569004	7.0
assay at	162	17650099	7.5
	215	0	6.5-8.8
	216	0	6.5-8.8
	250	13705066	6.8-7.3
	251	0	7.0-8.6
	253	0	6.5-8.8
	254	0	6.5-8.8
	255	0	6.5-8.8
	256	0	6.5-8.8
	293	2822678	8.0-9.0
	328	10206692	7.5
	329	10206692	7.5
	330	210785	7.6
	333	0	7.5
assay at	342	16952949	7.5
	344	4340512	6.3-8.8
	344	0	6.5-8.8
	344	14240635	7.0
assay at	344	17569004	7.0
assay at	344	17650099	7.5
	345	4340512	6.3-8.8
	345	0	6.5-8.8
	345	14240635	7.0
assay at	345	17569004	7.0
assay at	345	17650099	7.5
	348	4340512	6.3-8.8
	348	0	6.5-8.8
	348	14240635	7.0
assay at	348	17569004	7.0
assay at	348	17650099	7.5
	349	4340512	6.3-8.8
	349	0	6.5-8.8
	349	14240635	7.0
assay at	349	17569004	7.0
assay at	349	17650099	7.5
	350	4340512	6.3-8.8
	350	0	6.5-8.8
	350	14240635	7.0
assay at	350	17569004	7.0
assay at	350	17650099	7.5
