Commentary	Ref	Literature(PubmedID)	value
calculated	118	15715941	1.7
calculated	119	15715941	1.7
calculated	128	26847222	6.3
calculated	129	26847222	6.3
calculated	130	26847222	6.3
calculated	131	26847222	6.3
calculated	132	26847222	6.3
calculated	133	26847222	6.3
isoelectric focusing	164	16091777	5.6
isoelectric focusing	165	16091777	5.6
isoelectric focusing	166	16091777	5.6
isoelectric focusing	167	16091777	5.6
isoelectric focusing	168	16091777	5.6
isoelectric focusing	169	16091777	5.6
isoelectric focusing	170	16091777	5.6
isoelectric focusing	171	16091777	5.6
isoelectric focusing	172	16091777	5.6
isoelectric focusing	173	16091777	5.6
isoelectric focusing	174	16091777	5.6
isoelectric focusing	175	16091777	5.6
isoelectric focusing	258	0	8.8
isoelectric focusing	259	0	8.8
isoelectric focusing	260	0	8.8
isoelectric focusing	261	0	8.8
isoelectric focusing	262	0	8.8
isoelectric focusing	263	0	8.8
isoelectric focusing	264	0	8.8
isoelectric focusing	276	0	4.5
isoelectric focusing	277	0	4.5
isoelectric focusing	278	0	4.5
isoelectric focusing	279	0	4.5
isoelectric focusing	280	0	4.5
isoelectric focusing	281	0	4.5
isoelectric focusing	282	0	4.5
above, isoelectric focusing	329	10830514	4.6 - 4.7
calculated	329	15057452	9.3
above, isoelectric focusing	330	10830514	4.6 - 4.7
calculated	330	15057452	9.3
above, isoelectric focusing	331	10830514	4.6 - 4.7
calculated	331	15057452	9.3
above, isoelectric focusing	332	10830514	4.6 - 4.7
calculated	332	15057452	9.3
above, isoelectric focusing	333	10830514	4.6 - 4.7
calculated	333	15057452	9.3
above, isoelectric focusing	334	10830514	4.6 - 4.7
calculated	334	15057452	9.3
above, isoelectric focusing	335	10830514	4.6 - 4.7
calculated	335	15057452	9.3
above, isoelectric focusing	336	10830514	4.6 - 4.7
calculated	336	15057452	9.3
above, isoelectric focusing	337	10830514	4.6 - 4.7
calculated	337	15057452	9.3
above, isoelectric focusing	338	10830514	4.6 - 4.7
calculated	338	15057452	9.3
above, isoelectric focusing	339	10830514	4.6 - 4.7
calculated	339	15057452	9.3
above, isoelectric focusing	340	10830514	4.6 - 4.7
calculated	340	15057452	9.3
alkaline isozyme XylI	355	0	4.6 - 4.7
neutral isozyme XylII	355	0	7.5
IEF-PAGE	355	18776691	7.5
	355	20075612	9.27
	355	19332293	9.44
alkaline isozyme XylI	356	0	4.6 - 4.7
neutral isozyme XylII	356	0	7.5
IEF-PAGE	356	18776691	7.5
	356	20075612	9.27
	356	19332293	9.44
alkaline isozyme XylI	357	0	4.6 - 4.7
neutral isozyme XylII	357	0	7.5
IEF-PAGE	357	18776691	7.5
	357	20075612	9.27
	357	19332293	9.44
alkaline isozyme XylI	358	0	4.6 - 4.7
neutral isozyme XylII	358	0	7.5
IEF-PAGE	358	18776691	7.5
	358	20075612	9.27
	358	19332293	9.44
alkaline isozyme XylI	359	0	4.6 - 4.7
neutral isozyme XylII	359	0	7.5
IEF-PAGE	359	18776691	7.5
	359	20075612	9.27
	359	19332293	9.44
alkaline isozyme XylI	360	0	4.6 - 4.7
neutral isozyme XylII	360	0	7.5
IEF-PAGE	360	18776691	7.5
	360	20075612	9.27
	360	19332293	9.44
alkaline isozyme XylI	361	0	4.6 - 4.7
neutral isozyme XylII	361	0	7.5
IEF-PAGE	361	18776691	7.5
	361	20075612	9.27
	361	19332293	9.44
alkaline isozyme XylI	362	0	4.6 - 4.7
neutral isozyme XylII	362	0	7.5
IEF-PAGE	362	18776691	7.5
	362	20075612	9.27
	362	19332293	9.44
alkaline isozyme XylI	363	0	4.6 - 4.7
neutral isozyme XylII	363	0	7.5
IEF-PAGE	363	18776691	7.5
	363	20075612	9.27
	363	19332293	9.44
alkaline isozyme XylI	364	0	4.6 - 4.7
neutral isozyme XylII	364	0	7.5
IEF-PAGE	364	18776691	7.5
	364	20075612	9.27
	364	19332293	9.44
alkaline isozyme XylI	365	0	4.6 - 4.7
neutral isozyme XylII	365	0	7.5
IEF-PAGE	365	18776691	7.5
	365	20075612	9.27
	365	19332293	9.44
alkaline isozyme XylI	366	0	4.6 - 4.7
neutral isozyme XylII	366	0	7.5
IEF-PAGE	366	18776691	7.5
	366	20075612	9.27
	366	19332293	9.44
alkaline isozyme XylI	367	0	4.6 - 4.7
neutral isozyme XylII	367	0	7.5
IEF-PAGE	367	18776691	7.5
	367	20075612	9.27
	367	19332293	9.44
isoelectric focusing	448	16404950	9.1
isoelectric focusing	449	16404950	9.1
isoelectric focusing	450	16404950	9.1
isoelectric focusing	451	16404950	9.1
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	503	18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	503	0	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	504	18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	504	0	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	505	18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	505	0	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	506	18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	506	0	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	507	18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	507	0	6.0
isoelectric focusing; isoelectric focusing in 5% polyacrylamide gel, pH 3.5-10 Ampholine, 200 V, 50 min, bands visualized with Coomassie brilliant blue G250 or silver staining, standard proteins of pI 3.5-9.3	508	18379842	4.3
isoelectric focusing, wild-type and mutant strain enzyme	508	0	6.0
mature enzyme, isoelectric focusing	524	18027102	5.16
mature enzyme, isoelectric focusing	525	18027102	5.16
calculated	741	15629130	6.2
calculated	741	15629130	9.2
calculated	742	15629130	6.2
calculated	742	15629130	9.2
calculated	743	15629130	6.2
calculated	743	15629130	9.2
calculated	744	15629130	6.2
calculated	744	15629130	9.2
calculated	745	15629130	6.2
calculated	745	15629130	9.2
calculated	746	15629130	6.2
calculated	746	15629130	9.2
calculated	747	15629130	6.2
calculated	747	15629130	9.2
to 9.0, isoelectric focusing	748	0	8.2
to 9.0, isoelectric focusing	749	0	8.2
to 9.0, isoelectric focusing	750	0	8.2
to 9.0, isoelectric focusing	751	0	8.2
to 9.0, isoelectric focusing	752	0	8.2
to 9.0, isoelectric focusing	753	0	8.2
to 9.0, isoelectric focusing	754	0	8.2
isoelectric focusing	846	17383610	6.5
isoelectric focusing	847	17383610	6.5
isoelectric focusing	848	17383610	6.5
isoelectric focusing	849	17383610	6.5
isoelectric focusing	850	17383610	6.5
isoelectric focusing	851	17383610	6.5
isoelectric focusing	852	17383610	6.5
isoelectric focusing	853	17383610	6.5
xylanase 2, isoelectric focusing	860	0	7.7
xylanase 1, isoelectric focusing	860	0	9.0
