UniProt	Enzyme	Organism	Source	Found_using_Brenda
A0A0P0ISK8	endo-1,4-beta-xylanase	Alicyclobacillus sp.		FALSE
D3VWB5	endo-1,4-beta-xylanase	Alicyclobacillus sp.	TrEMBL	TRUE
A0A0P0ISK8	endo-1,4-beta-xylanase	Alicyclobacillus sp. A4		FALSE
D3VWB5	endo-1,4-beta-xylanase	Alicyclobacillus sp. A4	TrEMBL	TRUE
Q7Z1V6	endo-1,4-beta-xylanase	Ampullaria crossean	TrEMBL	TRUE
A0A0F6MV31	endo-1,4-beta-xylanase	Arthrobacter sp.	TrEMBL	TRUE
A0A0F6MV31	endo-1,4-beta-xylanase	Arthrobacter sp. GN16	TrEMBL	TRUE
Q00263	endo-1,4-beta-xylanase	Ascochyta pisi	TrEMBL	TRUE
Q6QA21	endo-1,4-beta-xylanase	Aspergillus cf. niger BCC14405	TrEMBL	TRUE
E0X4B3	endo-1,4-beta-xylanase	Aspergillus fumigatus	TrEMBL	TRUE
P33557	endo-1,4-beta-xylanase	Aspergillus kawachii	Swiss-Prot	TRUE
P33557	endo-1,4-beta-xylanase	Aspergillus kawachii NBRC 4308	Swiss-Prot	TRUE
Q00177	endo-1,4-beta-xylanase	Aspergillus nidulans	Swiss-Prot	TRUE
F5CI28	endo-1,4-beta-xylanase	Aspergillus niger	TrEMBL	TRUE
P55329	endo-1,4-beta-xylanase	Aspergillus niger	Swiss-Prot	TRUE
F5CI28	endo-1,4-beta-xylanase	Aspergillus niger IA-0010	TrEMBL	TRUE
Q2PQU3	endo-1,4-beta-xylanase	Aspergillus phoenicis	TrEMBL	TRUE
Q2PQU3	endo-1,4-beta-xylanase	Aspergillus phoenicis RP-02	TrEMBL	TRUE
Q3S401	endo-1,4-beta-xylanase	Aspergillus sulphureus	TrEMBL	TRUE
Q2PU02	endo-1,4-beta-xylanase	Aspergillus usamii	TrEMBL	TRUE
P09850	endo-1,4-beta-xylanase	Bacillus circulans	Swiss-Prot	TRUE
M4QNR9	endo-1,4-beta-xylanase	Bacillus halodurans	TrEMBL	TRUE
P07528	endo-1,4-beta-xylanase	Bacillus halodurans	Swiss-Prot	TRUE
P07528	endo-1,4-beta-xylanase	Bacillus halodurans S7	Swiss-Prot	TRUE
M4QNR9	endo-1,4-beta-xylanase	Bacillus halodurans TSEV1	TrEMBL	TRUE
B5SYI8	endo-1,4-beta-xylanase	Bacillus licheniformis	TrEMBL	TRUE
B5SYI8	endo-1,4-beta-xylanase	Bacillus licheniformis MS5-14	TrEMBL	TRUE
Q5EFR9	endo-1,4-beta-xylanase	Bacillus pumilus	TrEMBL	TRUE
Q5EFR9	endo-1,4-beta-xylanase	Bacillus pumilus ARA	TrEMBL	TRUE
Q84F19	endo-1,4-beta-xylanase	Bacillus sp.	TrEMBL	TRUE
Q9RC94	endo-1,4-beta-xylanase	Bacillus sp. 41M-1	TrEMBL	TRUE
Q84F19	endo-1,4-beta-xylanase	Bacillus sp. BP-7	TrEMBL	TRUE
B9ZZN9	endo-1,4-beta-xylanase	Bacillus subtilis	TrEMBL	TRUE
P18429	endo-1,4-beta-xylanase	Bacillus subtilis	Swiss-Prot	TRUE
Q45VU2	endo-1,4-beta-xylanase	Bacillus subtilis	TrEMBL	TRUE
Q45VU2	endo-1,4-beta-xylanase	Bacillus subtilis	TrEMBL	TRUE
P18429	endo-1,4-beta-xylanase	Bacillus subtilis 168	Swiss-Prot	TRUE
P18429	endo-1,4-beta-xylanase	Bacillus subtilis 168	Swiss-Prot	TRUE
Q45VU2	endo-1,4-beta-xylanase	Bacillus subtilis KT12	TrEMBL	TRUE
B9ZZN9	endo-1,4-beta-xylanase	Bacillus subtilis R5	TrEMBL	TRUE
H9ZGD1	endo-1,4-beta-xylanase	bacterium enrichment culture clone Xyl8B8	TrEMBL	TRUE
O13447	endo-1,4-beta-xylanase	Bipolaris sorokiniana	TrEMBL	TRUE
Q06562	endo-1,4-beta-xylanase	Bipolaris zeicola	Swiss-Prot	TRUE
D0QF43	endo-1,4-beta-xylanase	Bispora sp. MEY-1		FALSE
D6MYS9	endo-1,4-beta-xylanase	Bispora sp. MEY-1	TrEMBL	TRUE
Q2LMP0	endo-1,4-beta-xylanase	Botrytis cinerea	Swiss-Prot	TRUE
