EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Literature(PubmedID)	Ref
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acacia verek		https://www.brenda-enzymes.org/literature.php?r=171611	0
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acetobacter pasteurianus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=8366083	1
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acetobacterium wieringae	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=8662186	2
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidobacteria	AMENDA reliability ++	https://www.ncbi.nlm.nih.gov/pubmed/?term=20393704	3
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidobacterium capsulatum	AMENDA reliability ++	https://www.ncbi.nlm.nih.gov/pubmed/?term=9692186	4
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidobacterium capsulatum DSM 11244	AMENDA reliability ++	https://www.ncbi.nlm.nih.gov/pubmed/?term=9692186	5
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidomyces acidophilus		https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	6
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidomyces acidophilus	AMENDA reliability ++++	https://www.ncbi.nlm.nih.gov/pubmed/?term=19640703	7
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidomyces acidophilus	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=16428847	8
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q6VAY1	Acidomyces acidophilus	gene XYL1	https://www.ncbi.nlm.nih.gov/pubmed/?term=20621155	9
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27555882	10
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus		https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	11
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	AMENDA reliability ++	https://www.ncbi.nlm.nih.gov/pubmed/?term=24211645	12
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=24949262	13
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus 11B		https://www.ncbi.nlm.nih.gov/pubmed/?term=20851989	14
