Commentary	Ref	Literature(PubmedID)	Inhibitor	value
	1544	15150165	more	-999.0
	1545	15150165	more	-999.0
	1546	15150165	more	-999.0
	1547	15150165	more	-999.0
	1548	15150165	more	-999.0
	1549	15150165	more	-999.0
	1550	15150165	more	-999.0
	1551	15150165	more	-999.0
pH 8.0, 25°C	1572	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1572	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1573	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1573	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1574	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1574	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1575	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1575	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1576	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1576	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1577	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1577	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1578	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1578	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1579	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1579	25280628	propan-2-ol	96.0
pH 8.0, 25°C	1580	25280628	Cyclohexanol	9.7
pH 8.0, 25°C	1580	25280628	propan-2-ol	96.0
	1596	9161610	4-Methylpyrazole	18.26
	1597	9161610	4-Methylpyrazole	18.26
	1598	9161610	4-Methylpyrazole	18.26
	1599	9161610	4-Methylpyrazole	18.26
	1600	9161610	4-Methylpyrazole	18.26
	1601	9161610	4-Methylpyrazole	18.26
	1602	9161610	4-Methylpyrazole	18.26
wild-type, pH 8.0, 60°C	1775	26329849	Butyraldehyde	2.1
wild-type, pH 8.0, 60°C	1776	26329849	Butyraldehyde	2.1
wild-type, pH 8.0, 60°C	1777	26329849	Butyraldehyde	2.1
wild-type, pH 8.0, 60°C	1778	26329849	Butyraldehyde	2.1
wild-type, pH 8.0, 60°C	1779	26329849	Butyraldehyde	2.1
wild-type, pH 8.0, 60°C	1780	26329849	Butyraldehyde	2.1
wild-type, pH 8.0, 60°C	1781	26329849	Butyraldehyde	2.1
inhibition kinetics	1986	12604203	more	-999.0
	1986	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1986	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1986	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1986	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1986	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1986	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1986	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1986	18242813	ethanol	1470.0
inhibition kinetics	1987	12604203	more	-999.0
	1987	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1987	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1987	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1987	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1987	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1987	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1987	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1987	18242813	ethanol	1470.0
inhibition kinetics	1988	12604203	more	-999.0
	1988	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1988	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1988	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1988	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1988	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1988	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1988	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1988	18242813	ethanol	1470.0
inhibition kinetics	1989	12604203	more	-999.0
	1989	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1989	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1989	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1989	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1989	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1989	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1989	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1989	18242813	ethanol	1470.0
inhibition kinetics	1990	12604203	more	-999.0
	1990	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1990	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1990	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1990	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1990	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1990	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1990	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1990	18242813	ethanol	1470.0
inhibition kinetics	1991	12604203	more	-999.0
	1991	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1991	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1991	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1991	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1991	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1991	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1991	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1991	18242813	ethanol	1470.0
inhibition kinetics	1992	12604203	more	-999.0
	1992	11997393	more	-999.0
pH 7.3, 37°C, versus cyclohexanone	1992	12604203	4-androsten-3,17-dione	0.0047
pH 7.3, 37°C, versus cyclohexanone	1992	12604203	5alpha-androstan-17beta-ol-3-one	0.0047
pH 7.3, 37°C, versus ethanol	1992	12604203	5alpha-androstan-17beta-ol-3-one	0.014
pH 7.3, 37°C, versus NAD+	1992	12604203	5alpha-androstan-17beta-ol-3-one	0.028
isozyme ADH1C, using 1-hydroxymethylpyrene as substrate	1992	18242813	ethanol	1.7
isozyme ADH4, using 1-hydroxymethylpyrene as substrate	1992	18242813	ethanol	3.3
isozyme ADH3, using 1-hydroxymethylpyrene as substrate	1992	18242813	ethanol	1470.0
