Commentary	Substrate	Ref	Literature(PubmedID)	value
pH 8.0, 60°C	ethanol	133	16233615	0.017
pH 8.0, 60°C	2-propanol	133	16233615	0.097
pH 8.0, 60°C	tert-butyl acetoacetate	133	16233615	0.1
pH 8.0, 60°C	2-Pentanone	133	16233615	0.15
pH 8.0, 60°C	benzyl alcohol	133	16233615	0.189
pH 8.0, 60°C	2-Hexanone	133	16233615	0.22
pH 8.0, 60°C	1-propanol	133	16233615	0.25
pH 8.0, 60°C	2-butanol	133	16233615	0.46
pH 8.0, 60°C	4-methoxybenzyl alcohol	133	16233615	0.53
pH 8.0, 60°C	4-methoxyphenylacetone	133	16233615	0.54
pH 8.0, 60°C	2-Heptanone	133	16233615	0.62
pH 8.0, 60°C	1-butanol	133	16233615	0.69
pH 8.0, 60°C	Cyclohexanol	133	16233615	0.73
pH 8.0, 60°C	2-Pentanol	133	16233615	0.79
pH 8.0, 60°C	cyclohexanone	133	16233615	0.91
pH 8.0, 60°C	1-Pentanol	133	16233615	1.1
pH 8.0, 60°C	1-Hexanol	133	16233615	2.5
pH 8.0, 60°C	2-Octanone	133	16233615	2.6
pH 8.0, 60°C	2-decanone	133	16233615	2.7
pH 8.0, 60°C	2-nonanone	133	16233615	3.3
pH 8.0, 60°C	benzaldehyde	133	16233615	3.66
pH 8.0, 60°C	NAD+	133	16233615	380.0
pH 8.0, 60°C	NADH	133	16233615	1000.0
pH 8.0, 60°C	ethanol	134	16233615	0.017
pH 8.0, 60°C	2-propanol	134	16233615	0.097
pH 8.0, 60°C	tert-butyl acetoacetate	134	16233615	0.1
pH 8.0, 60°C	2-Pentanone	134	16233615	0.15
pH 8.0, 60°C	benzyl alcohol	134	16233615	0.189
pH 8.0, 60°C	2-Hexanone	134	16233615	0.22
pH 8.0, 60°C	1-propanol	134	16233615	0.25
pH 8.0, 60°C	2-butanol	134	16233615	0.46
pH 8.0, 60°C	4-methoxybenzyl alcohol	134	16233615	0.53
pH 8.0, 60°C	4-methoxyphenylacetone	134	16233615	0.54
pH 8.0, 60°C	2-Heptanone	134	16233615	0.62
pH 8.0, 60°C	1-butanol	134	16233615	0.69
pH 8.0, 60°C	Cyclohexanol	134	16233615	0.73
pH 8.0, 60°C	2-Pentanol	134	16233615	0.79
pH 8.0, 60°C	cyclohexanone	134	16233615	0.91
pH 8.0, 60°C	1-Pentanol	134	16233615	1.1
pH 8.0, 60°C	1-Hexanol	134	16233615	2.5
pH 8.0, 60°C	2-Octanone	134	16233615	2.6
pH 8.0, 60°C	2-decanone	134	16233615	2.7
pH 8.0, 60°C	2-nonanone	134	16233615	3.3
pH 8.0, 60°C	benzaldehyde	134	16233615	3.66
pH 8.0, 60°C	NAD+	134	16233615	380.0
pH 8.0, 60°C	NADH	134	16233615	1000.0
pH 8.0, 60°C	ethanol	135	16233615	0.017
pH 8.0, 60°C	2-propanol	135	16233615	0.097
pH 8.0, 60°C	tert-butyl acetoacetate	135	16233615	0.1
pH 8.0, 60°C	2-Pentanone	135	16233615	0.15
pH 8.0, 60°C	benzyl alcohol	135	16233615	0.189
pH 8.0, 60°C	2-Hexanone	135	16233615	0.22
pH 8.0, 60°C	1-propanol	135	16233615	0.25
pH 8.0, 60°C	2-butanol	135	16233615	0.46
pH 8.0, 60°C	4-methoxybenzyl alcohol	135	16233615	0.53
pH 8.0, 60°C	4-methoxyphenylacetone	135	16233615	0.54
pH 8.0, 60°C	2-Heptanone	135	16233615	0.62
pH 8.0, 60°C	1-butanol	135	16233615	0.69
pH 8.0, 60°C	Cyclohexanol	135	16233615	0.73
pH 8.0, 60°C	2-Pentanol	135	16233615	0.79
pH 8.0, 60°C	cyclohexanone	135	16233615	0.91
pH 8.0, 60°C	1-Pentanol	135	16233615	1.1
pH 8.0, 60°C	1-Hexanol	135	16233615	2.5
pH 8.0, 60°C	2-Octanone	135	16233615	2.6
pH 8.0, 60°C	2-decanone	135	16233615	2.7
pH 8.0, 60°C	2-nonanone	135	16233615	3.3
pH 8.0, 60°C	benzaldehyde	135	16233615	3.66
pH 8.0, 60°C	NAD+	135	16233615	380.0
pH 8.0, 60°C	NADH	135	16233615	1000.0
pH 8.0, 60°C	ethanol	136	16233615	0.017
pH 8.0, 60°C	2-propanol	136	16233615	0.097
pH 8.0, 60°C	tert-butyl acetoacetate	136	16233615	0.1
pH 8.0, 60°C	2-Pentanone	136	16233615	0.15
pH 8.0, 60°C	benzyl alcohol	136	16233615	0.189
pH 8.0, 60°C	2-Hexanone	136	16233615	0.22
pH 8.0, 60°C	1-propanol	136	16233615	0.25
pH 8.0, 60°C	2-butanol	136	16233615	0.46
pH 8.0, 60°C	4-methoxybenzyl alcohol	136	16233615	0.53
pH 8.0, 60°C	4-methoxyphenylacetone	136	16233615	0.54
pH 8.0, 60°C	2-Heptanone	136	16233615	0.62
pH 8.0, 60°C	1-butanol	136	16233615	0.69
pH 8.0, 60°C	Cyclohexanol	136	16233615	0.73
pH 8.0, 60°C	2-Pentanol	136	16233615	0.79
pH 8.0, 60°C	cyclohexanone	136	16233615	0.91
pH 8.0, 60°C	1-Pentanol	136	16233615	1.1
pH 8.0, 60°C	1-Hexanol	136	16233615	2.5
pH 8.0, 60°C	2-Octanone	136	16233615	2.6
pH 8.0, 60°C	2-decanone	136	16233615	2.7
pH 8.0, 60°C	2-nonanone	136	16233615	3.3
pH 8.0, 60°C	benzaldehyde	136	16233615	3.66
pH 8.0, 60°C	NAD+	136	16233615	380.0
pH 8.0, 60°C	NADH	136	16233615	1000.0
pH 7.0, 30°C	ethanol	932	26216639	0.007
pH 7.0, 30°C	acetaldehyde	932	26216639	0.336
pH 7.7, 60°C	2-propanol	1775	23686507	5.0
pH 7.7, 60°C	NAD+	1775	23686507	73.0
wild-type, pH 8.0, 60°C	NAD+	1775	26329849	100.0
