Commentary	Ref	Literature(PubmedID)	value
gel filtration	0	0	55000.0
1 	0	0	60000.0
2 	18	12829303	27500.0
gel filtration	18	12829303	54000.0
2 	19	12829303	27500.0
gel filtration	19	12829303	54000.0
2 	20	12829303	27500.0
gel filtration	20	12829303	54000.0
2 	21	12829303	27500.0
gel filtration	21	12829303	54000.0
gel filtration	49	0	15900.0
x 	52	19916085	42500.0
x 	53	19916085	42500.0
1 	66	18989576	63000.0
1 	67	18989576	63000.0
1 	68	18989576	63000.0
	97	25331377	130000.0
	97	25331377	131500.0
	98	25331377	130000.0
	98	25331377	131500.0
isoform xyl II, gelfiltration	116	0	7700.0
1 	116	0	17700.0
isoform xyl I, gelfiltration	116	0	26300.0
1 	116	0	27000.0
x 	118	15715941	21000.0
x 	118	15715941	24000.0
x 	119	15715941	21000.0
x 	119	15715941	24000.0
x 	128	0	23000.0
	128	26847222	24500.0
SDS-PAGE	128	100112400	66000.0
x 	129	0	23000.0
	129	26847222	24500.0
SDS-PAGE	129	100112400	66000.0
x 	130	0	23000.0
	130	26847222	24500.0
SDS-PAGE	130	100112400	66000.0
x 	131	0	23000.0
	131	26847222	24500.0
SDS-PAGE	131	100112400	66000.0
x 	132	0	23000.0
	132	26847222	24500.0
SDS-PAGE	132	100112400	66000.0
x 	133	0	23000.0
	133	26847222	24500.0
SDS-PAGE	133	100112400	66000.0
x 	141	15114860	21000.0
x 	141	15114860	24000.0
x 	142	15114860	21000.0
x 	142	15114860	24000.0
x 	143	15114860	21000.0
x 	143	15114860	24000.0
x 	144	20159568	25100.0
x 	145	20159568	25100.0
x 	146	20159568	25100.0
	148	26686608	23000.0
	148	26686608	23300.0
	149	26686608	23000.0
	149	26686608	23300.0
	150	26686608	23000.0
	150	26686608	23300.0
	151	26686608	23000.0
	151	26686608	23300.0
	152	26686608	23000.0
	152	26686608	23300.0
x 	155	0	34000.0
x 	156	0	34000.0
x 	157	0	34000.0
x 	158	0	34000.0
x 	159	0	34000.0
x 	160	0	34000.0
x 	161	0	34000.0
x 	162	0	34000.0
xylanase I, gel filtration	164	18553703	12000.0
xylanase II, gel filtration	164	18553703	13500.0-14000.0
gel filtration	164	18553704	16500.0
x 	164	23670313	20000.0
SDS-PAGE	164	0	21000.0
x 	164	16091777	23000.0
x 	164	24888408	23000.0
gel filtration	164	19078	24000.0
x 	164	18553705	28000.0
xylanase II, gel filtration	164	455113	31000.0
1 	164	100069532	33000.0
gel filtration	164	100069532	34000.0
xylanase IA and IB, gel filtration	164	455113	50000.0
xylanase I, gel filtration	165	18553703	12000.0
xylanase II, gel filtration	165	18553703	13500.0-14000.0
gel filtration	165	18553704	16500.0
x 	165	23670313	20000.0
SDS-PAGE	165	0	21000.0
x 	165	16091777	23000.0
x 	165	24888408	23000.0
gel filtration	165	19078	24000.0
x 	165	18553705	28000.0
xylanase II, gel filtration	165	455113	31000.0
1 	165	100069532	33000.0
gel filtration	165	100069532	34000.0
xylanase IA and IB, gel filtration	165	455113	50000.0
xylanase I, gel filtration	166	18553703	12000.0
xylanase II, gel filtration	166	18553703	13500.0-14000.0
gel filtration	166	18553704	16500.0
x 	166	23670313	20000.0
SDS-PAGE	166	0	21000.0
x 	166	16091777	23000.0
x 	166	24888408	23000.0
gel filtration	166	19078	24000.0
x 	166	18553705	28000.0
xylanase II, gel filtration	166	455113	31000.0
1 	166	100069532	33000.0
gel filtration	166	100069532	34000.0
xylanase IA and IB, gel filtration	166	455113	50000.0
xylanase I, gel filtration	167	18553703	12000.0
xylanase II, gel filtration	167	18553703	13500.0-14000.0
gel filtration	167	18553704	16500.0
x 	167	23670313	20000.0
SDS-PAGE	167	0	21000.0
x 	167	16091777	23000.0
x 	167	24888408	23000.0
gel filtration	167	19078	24000.0
x 	167	18553705	28000.0
xylanase II, gel filtration	167	455113	31000.0
1 	167	100069532	33000.0
gel filtration	167	100069532	34000.0
xylanase IA and IB, gel filtration	167	455113	50000.0
xylanase I, gel filtration	168	18553703	12000.0
xylanase II, gel filtration	168	18553703	13500.0-14000.0
