Commentary	Ref	Literature(PubmedID)	value
	6	19640703	25.0-70.0
	7	19640703	25.0-70.0
	8	19640703	25.0-70.0
	9	19640703	25.0-70.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	10	20851989	60.0-100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	11	20851989	60.0-100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	12	20851989	60.0-100.0
activity range, pH-dependent: at 100°C activity occurs at pH 4.0-6.0, at 60°C activity occurs at pH 5.0-8.0, overview	13	20851989	60.0-100.0
rapid decline of activity at 65°C	18	12829303	50.0-65.0
rapid decline of activity at 65°C	19	12829303	50.0-65.0
rapid decline of activity at 65°C	20	12829303	50.0-65.0
rapid decline of activity at 65°C	21	12829303	50.0-65.0
XynA4 shows over 50% of maximal activity within this range	52	19916085	40.0-65.0
XynA4 shows over 50% of maximal activity within this range	53	19916085	40.0-65.0
	60	18597051	50.0-55.0
	128	100112400	30.0-70.0
	129	100112400	30.0-70.0
	130	100112400	30.0-70.0
	131	100112400	30.0-70.0
	132	100112400	30.0-70.0
	133	100112400	30.0-70.0
activity range, profile, overview	164	100069532	30.0-70.0
more than 68% of maximum activity	164	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	164	23241981	50.0-70.0
activity range, profile, overview	165	100069532	30.0-70.0
more than 68% of maximum activity	165	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	165	23241981	50.0-70.0
activity range, profile, overview	166	100069532	30.0-70.0
more than 68% of maximum activity	166	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	166	23241981	50.0-70.0
activity range, profile, overview	167	100069532	30.0-70.0
more than 68% of maximum activity	167	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	167	23241981	50.0-70.0
activity range, profile, overview	168	100069532	30.0-70.0
more than 68% of maximum activity	168	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	168	23241981	50.0-70.0
activity range, profile, overview	169	100069532	30.0-70.0
more than 68% of maximum activity	169	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	169	23241981	50.0-70.0
activity range, profile, overview	170	100069532	30.0-70.0
more than 68% of maximum activity	170	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	170	23241981	50.0-70.0
activity range, profile, overview	171	100069532	30.0-70.0
more than 68% of maximum activity	171	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	171	23241981	50.0-70.0
activity range, profile, overview	172	100069532	30.0-70.0
more than 68% of maximum activity	172	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	172	23241981	50.0-70.0
activity range, profile, overview	173	100069532	30.0-70.0
more than 68% of maximum activity	173	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	173	23241981	50.0-70.0
activity range, profile, overview	174	100069532	30.0-70.0
more than 68% of maximum activity	174	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	174	23241981	50.0-70.0
activity range, profile, overview	175	100069532	30.0-70.0
more than 68% of maximum activity	175	23670313	35.0-68.0
activity at 50°C is about 20% higher compared to activity at 70°C	175	23241981	50.0-70.0
50% of maximal activity at 20°C, 20% at 70°C	205	19412581	20.0-70.0
50% of maximal activity at 20°C, 20% at 70°C	206	19412581	20.0-70.0
50% of maximal activity at 20°C, 20% at 70°C	207	19412581	20.0-70.0
40°C: about 50% of maximal activity, 90°C: about 85% of maximal activity	252	0	40.0-90.0
40°C: about 50% of maximal activity, 90°C: about 85% of maximal activity	253	0	40.0-90.0
40°C: about 50% of maximal activity, 90°C: about 85% of maximal activity	254	0	40.0-90.0
40°C: about 50% of maximal activity, 90°C: about 85% of maximal activity	255	0	40.0-90.0
40°C: about 50% of maximal activity, 90°C: about 85% of maximal activity	256	0	40.0-90.0
	258	0	40.0-80.0
	259	0	40.0-80.0
	260	0	40.0-80.0
	261	0	40.0-80.0
	262	0	40.0-80.0
	263	0	40.0-80.0
	264	0	40.0-80.0
80% of maximum activity	276	22806794	80.0
80% of maximum activity	277	22806794	80.0
80% of maximum activity	278	22806794	80.0
80% of maximum activity	279	22806794	80.0
80% of maximum activity	280	22806794	80.0
80% of maximum activity	281	22806794	80.0
80% of maximum activity	282	22806794	80.0
	300	18612683	40.0-50.0
	301	18612683	40.0-50.0
	302	18612683	40.0-50.0
	303	18612683	40.0-50.0
	304	18612683	40.0-50.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	329	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	329	0	40.0-80.0
activity range	329	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	329	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	329	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	329	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	330	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	330	0	40.0-80.0
activity range	330	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	330	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	330	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	330	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	331	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	331	0	40.0-80.0
activity range	331	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	331	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	331	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	331	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	332	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	332	0	40.0-80.0
activity range	332	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	332	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	332	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	332	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	333	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	333	0	40.0-80.0
activity range	333	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	333	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	333	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	333	10689076	60.0-80.0
40°C: about 25% of maximal activity of enzyme from strain W1, about 30% of maximal activity of enzyme from strain W3, 75°C: about 30% of maximal activity, enzyme from strain W1 and W3	334	0	40.0-75.0
40°C: about 20% of maximal activity, 80°C: about 45% of maximal activity	334	0	40.0-80.0
activity range	334	20467831	40.0-90.0
50°C: about 50% of maximal activity, 75°C: about 60% of maximal activity	334	0	50.0-75.0
50°C: about 30% of maximal activity, 80°C: about 20% of maximal activity, enzyme form strain W4	334	0	50.0-80.0
60°C: about 50% of maximal activity, 80°C: about 80% of maximal activity	334	10689076	60.0-80.0
