synonyms	ec_number	recommended_name
pyrophosphatase, inorganic	3.6.1.1	inorganic diphosphatase
Pyrophosphate phospho-hydrolase	3.6.1.1	inorganic diphosphatase
Pyrophosphate phosphohydrolase	3.6.1.1	inorganic diphosphatase
Pyrophosphate-energized inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
inorganic diphosphatase	3.6.1.1	inorganic diphosphatase
PPA1	3.6.1.1	inorganic diphosphatase
inorganic pyrophosphatase 1	3.6.1.1	inorganic diphosphatase
PpaC	3.6.1.1	inorganic diphosphatase
PPase	3.6.1.1	inorganic diphosphatase
inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
CBS-PPase	3.6.1.1	inorganic diphosphatase
VSP	3.6.1.1	inorganic diphosphatase
Inorganic pyrophosphatases	3.6.1.1	inorganic diphosphatase
vacuolar H+-pyrophosphatase	3.6.1.1	inorganic diphosphatase
M-PPase	3.6.1.1	inorganic diphosphatase
membrane-integral pyrophosphatase	3.6.1.1	inorganic diphosphatase
V-PPase	3.6.1.1	inorganic diphosphatase
vacuolar H+-translocating inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
family II PPase	3.6.1.1	inorganic diphosphatase
family II inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
E-PPase	3.6.1.1	inorganic diphosphatase
EcPpA	3.6.1.1	inorganic diphosphatase
pyrophosphatase	3.6.1.1	inorganic diphosphatase
soluble inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
H+-PPase	3.6.1.1	inorganic diphosphatase
soluble pyrophosphatase	3.6.1.1	inorganic diphosphatase
PPase2	3.6.1.1	inorganic diphosphatase
family I PPase	3.6.1.1	inorganic diphosphatase
PPase1	3.6.1.1	inorganic diphosphatase
hyperthermophilic inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
Pho-PPase	3.6.1.1	inorganic diphosphatase
phospholysine phosphohistidine inorganic pyrophosphate phosphatase	3.6.1.1	inorganic diphosphatase
LHPPase	3.6.1.1	inorganic diphosphatase
sPPAse	3.6.1.1	inorganic diphosphatase
family I inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
phosphoprotein p26.1	3.6.1.1	inorganic diphosphatase
p26.1a	3.6.1.1	inorganic diphosphatase
p26.1b	3.6.1.1	inorganic diphosphatase
IPPase	3.6.1.1	inorganic diphosphatase
VP1	3.6.1.1	inorganic diphosphatase
proton-translocating inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
vacuolar H(+)-pyrophosphatase	3.6.1.1	inorganic diphosphatase
H+-translocating/vacuolar inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
vacuolar pyrophosphatase	3.6.1.1	inorganic diphosphatase
H+-pyrophosphatase	3.6.1.1	inorganic diphosphatase
VVPP1	3.6.1.1	inorganic diphosphatase
gene name	3.6.1.1	inorganic diphosphatase
PPIase	3.6.1.1	inorganic diphosphatase
the enzyme is a member of the sPPase family I	3.6.1.1	inorganic diphosphatase
PPase 1	3.6.1.1	inorganic diphosphatase
soluble inorganic pyrophosphatase 2	3.6.1.1	inorganic diphosphatase
PPase 2	3.6.1.1	inorganic diphosphatase
pyrophosphate phospho-hydrolase 1	3.6.1.1	inorganic diphosphatase
chloroplast inorganic pyrophosphatase 1	3.6.1.1	inorganic diphosphatase
siPPiase	3.6.1.1	inorganic diphosphatase
PPase4	3.6.1.1	inorganic diphosphatase
manganese-dependent inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
mitochondrial pyrophosphatase	3.6.1.1	inorganic diphosphatase
PPase-2	3.6.1.1	inorganic diphosphatase
ppase-1	3.6.1.1	inorganic diphosphatase
cytosolic PPase	3.6.1.1	inorganic diphosphatase
PYP-1	3.6.1.1	inorganic diphosphatase
Ipp1p	3.6.1.1	inorganic diphosphatase
membrane-integral inorganic pyrophosphatase	3.6.1.1	inorganic diphosphatase
miPPase	3.6.1.1	inorganic diphosphatase
acid PPase	3.6.1.1	inorganic diphosphatase
