Commentary	Ref	Literature(PubmedID)	Inhibitor	value
pH 8.0, 25°C	86	17256879	Paraoxon	0.0011
pH 8.0, 25°C	86	17256879	dimethylchlorophosphate	0.0092
pH 8.0, 25°C	87	17256879	Paraoxon	0.0011
pH 8.0, 25°C	87	17256879	dimethylchlorophosphate	0.0092
pH 7.1, 50°C	502	0	Paraoxon	5.9E-6
pH 7.1, 50°C	502	0	dichlorvos	5.08E-5
pH 7.1, 50°C	502	0	diazinon	0.0075
pH 7.1, 50°C	503	0	Paraoxon	5.9E-6
pH 7.1, 50°C	503	0	dichlorvos	5.08E-5
pH 7.1, 50°C	503	0	diazinon	0.0075
pH 7.1, 50°C	504	0	Paraoxon	5.9E-6
pH 7.1, 50°C	504	0	dichlorvos	5.08E-5
pH 7.1, 50°C	504	0	diazinon	0.0075
pH 7.1, 50°C	505	0	Paraoxon	5.9E-6
pH 7.1, 50°C	505	0	dichlorvos	5.08E-5
pH 7.1, 50°C	505	0	diazinon	0.0075
pH 7.1, 50°C	506	0	Paraoxon	5.9E-6
pH 7.1, 50°C	506	0	dichlorvos	5.08E-5
pH 7.1, 50°C	506	0	diazinon	0.0075
pH 7.1, 50°C	507	0	Paraoxon	5.9E-6
pH 7.1, 50°C	507	0	dichlorvos	5.08E-5
pH 7.1, 50°C	507	0	diazinon	0.0075
pH 7.1, 50°C	508	0	Paraoxon	5.9E-6
pH 7.1, 50°C	508	0	dichlorvos	5.08E-5
pH 7.1, 50°C	508	0	diazinon	0.0075
pH 7.1, 50°C	509	0	Paraoxon	5.9E-6
pH 7.1, 50°C	509	0	dichlorvos	5.08E-5
pH 7.1, 50°C	509	0	diazinon	0.0075
pH 7.1, 50°C	510	0	Paraoxon	5.9E-6
pH 7.1, 50°C	510	0	dichlorvos	5.08E-5
pH 7.1, 50°C	510	0	diazinon	0.0075
mutant L362D, 37°C, pH 7.4	758	18163883	Paraoxon	8.0E-7
mutant L362A, 37°C, pH 7.4	758	18163883	Paraoxon	1.0E-6
wild-type, 37°C, pH 7.4	758	18163883	Paraoxon	1.3E-6
mutant L362R, 37°C, pH 7.4	758	18163883	Paraoxon	3.1E-6
mutant L362A, 37°C, pH 7.4	758	18163883	Methyl paraoxon	1.8E-5
mutant L362D, 37°C, pH 7.4	758	18163883	Methyl paraoxon	2.4E-5
wild-type, 37°C, pH 7.4	758	18163883	Methyl paraoxon	8.1E-5
mutant L362R, 37°C, pH 7.4	758	18163883	Methyl paraoxon	2.7E-4
mutant L362D, 37°C, pH 7.4	759	18163883	Paraoxon	8.0E-7
mutant L362A, 37°C, pH 7.4	759	18163883	Paraoxon	1.0E-6
wild-type, 37°C, pH 7.4	759	18163883	Paraoxon	1.3E-6
mutant L362R, 37°C, pH 7.4	759	18163883	Paraoxon	3.1E-6
mutant L362A, 37°C, pH 7.4	759	18163883	Methyl paraoxon	1.8E-5
mutant L362D, 37°C, pH 7.4	759	18163883	Methyl paraoxon	2.4E-5
wild-type, 37°C, pH 7.4	759	18163883	Methyl paraoxon	8.1E-5
mutant L362R, 37°C, pH 7.4	759	18163883	Methyl paraoxon	2.7E-4
mutant L362D, 37°C, pH 7.4	760	18163883	Paraoxon	8.0E-7
mutant L362A, 37°C, pH 7.4	760	18163883	Paraoxon	1.0E-6
wild-type, 37°C, pH 7.4	760	18163883	Paraoxon	1.3E-6
mutant L362R, 37°C, pH 7.4	760	18163883	Paraoxon	3.1E-6
mutant L362A, 37°C, pH 7.4	760	18163883	Methyl paraoxon	1.8E-5
mutant L362D, 37°C, pH 7.4	760	18163883	Methyl paraoxon	2.4E-5
wild-type, 37°C, pH 7.4	760	18163883	Methyl paraoxon	8.1E-5
mutant L362R, 37°C, pH 7.4	760	18163883	Methyl paraoxon	2.7E-4
mutant L362D, 37°C, pH 7.4	761	18163883	Paraoxon	8.0E-7
mutant L362A, 37°C, pH 7.4	761	18163883	Paraoxon	1.0E-6
wild-type, 37°C, pH 7.4	761	18163883	Paraoxon	1.3E-6
mutant L362R, 37°C, pH 7.4	761	18163883	Paraoxon	3.1E-6
mutant L362A, 37°C, pH 7.4	761	18163883	Methyl paraoxon	1.8E-5
mutant L362D, 37°C, pH 7.4	761	18163883	Methyl paraoxon	2.4E-5
wild-type, 37°C, pH 7.4	761	18163883	Methyl paraoxon	8.1E-5
