Commentary	Ref	Literature(PubmedID)	value
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	10	20851989	4.0-8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	11	20851989	4.0-8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	12	20851989	4.0-8.0
activity range, at pH 8.0 activity occurs only up to 70°C, at pH 7.0 up to 90°C, at pH 4.0 activity occurs at 90-100°C, overview	13	20851989	4.0-8.0
50% of maximal activity at pH 4.0 and pH 8.5	18	12829303	4.0-8.5
50% of maximal activity at pH 4.0 and pH 8.5	19	12829303	4.0-8.5
50% of maximal activity at pH 4.0 and pH 8.5	20	12829303	4.0-8.5
50% of maximal activity at pH 4.0 and pH 8.5	21	12829303	4.0-8.5
XynA4 shows over 40% of maximal activity within this range	52	19916085	3.8-9.4
XynA4 shows over 40% of maximal activity within this range	53	19916085	3.8-9.4
	60	18597051	5.8-6.2
29% of maximum activity	97	25331377	5.5
29% of maximum activity	98	25331377	5.5
about 47 and 41% activity is observed at pH 8 and 9, respectively	128	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	129	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	130	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	131	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	132	100112400	3.0-9.0
about 47 and 41% activity is observed at pH 8 and 9, respectively	133	100112400	3.0-9.0
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	155	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	156	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	157	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	158	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	159	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	160	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	161	0	4.8-8.4
pH 4.8: about 70% of maximal activity, pH 8.4: about 60% of maximal activity	162	0	4.8-8.4
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	164	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	164	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	164	18553704	3.5-6.5
pH 3.5: about 70% of maximal activity, pH 8.0: about 30% of maximal activity, xylanase IA	164	455113	3.5-8.0
more than 50% maximal activity	164	0	3.6-6.5
	164	23670313	5.0
pH 2.8: about 30% of maximal activity, pH 7.5: about 40% of maximal activity	165	18553705	2.8-7.5
pH 3.0: about 90% of maximal activity, pH 8.0: about 25% of maximal activity, xylanase IB	165	455113	3.0-8.0
pH 3.5: about 40% of maximal activity, pH 6.5: about 35% of maximal activity	165	18553704	3.5-6.5
