Commentary	Ref	Literature(PubmedID)	Inhibitor	value
pH not specified in the publication, temperature not specified in the publication	29	https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	Polymyxin B	0.167
pH not specified in the publication, temperature not specified in the publication	29	https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	colistin	0.356
pH not specified in the publication, temperature not specified in the publication	30	https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	Polymyxin B	0.167
pH not specified in the publication, temperature not specified in the publication	30	https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	colistin	0.356
pH not specified in the publication, temperature not specified in the publication	31	https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	Polymyxin B	0.167
pH not specified in the publication, temperature not specified in the publication	31	https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	colistin	0.356
75% inhibition, IC50: 0.013 mM	61	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	diphenylene iodonium	0.013
75% inhibition, IC50: 0.013 mM	62	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	diphenylene iodonium	0.013
75% inhibition, IC50: 0.013 mM	63	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	diphenylene iodonium	0.013
IC50: 0.0004 mM	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	2-n-decyl-quinazoline-4-yl-amine	4.0E-4
IC50: 0.002 mM	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	rotenone	0.002
IC50: 0.0004 mM	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	2-n-decyl-quinazoline-4-yl-amine	4.0E-4
IC50: 0.002 mM	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	rotenone	0.002
IC50: 0.0004 mM	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	2-n-decyl-quinazoline-4-yl-amine	4.0E-4
IC50: 0.002 mM	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	rotenone	0.002
IC50: 0.0004 mM	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	2-n-decyl-quinazoline-4-yl-amine	4.0E-4
IC50: 0.002 mM	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	rotenone	0.002
IC50: above 15 mM	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	(1R,1'R)-1,1'-((2R,2'R,5R,5'R)-octahydro-2,2'-bifuran-5,5'-diyl)-bis-(6-(4-n-butylphenoxy)hexan-1-ol)	-999.0
IC50: 0.83 nM	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=16716068	(1R,1'R)-1,1'-(2R,2'R,5R,5'R)-octahydro-2,2'-bifuran-5,5'-diylbis[6-(4-butylphenoxy)hexan-1-ol]	8.3E-7
IC50: 0.00000083 mM	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=16274237	(5S)-3-[(13R)-13-hydroxy-13-[(2R,2'R,5R,5'R)-5'-[(1R)-1-hydroxyundecyl]octahydro-2,2'-bifuran-5-yl]tridec-8-yn-1-yl]-5-methylfuran-2(5H)-one	8.3E-7
IC50: 0.00000083 mM	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=16274237	bullatacin	8.3E-7
