Commentary	Ref	Literature(PubmedID)	Inhibitor	value
pH 8.0, 25°C, NADH oxidase reaction	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	rotenone	1.0E-6
pH 8.0, 25°C, NAD+ reduction	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	rotenone	2.0E-5
	332	https://www.brenda-enzymes.org/literature.php?r=392703	rolliniastatin-1	3.0E-4
	332	https://www.brenda-enzymes.org/literature.php?r=392703	squamocin	4.0E-4
	332	https://www.brenda-enzymes.org/literature.php?r=392703	rolliniastatin-2	6.0E-4
	332	https://www.brenda-enzymes.org/literature.php?r=392703	otivarin	8.0E-4
	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=12600270	AMS-GX	0.001
	332	https://www.brenda-enzymes.org/literature.php?r=392703	molvizarin	0.001
	332	https://www.brenda-enzymes.org/literature.php?r=392703	piercidin	0.001
	332	https://www.brenda-enzymes.org/literature.php?r=392703	rotenone	0.004
	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=12600270	5BM-GX	0.005
pH 8.0, 25°C, NADH oxidase reaction	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	Triton X-100	0.007
pH 8.0, 25°C	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=9878712	Triton X-100	0.01
in 0.4 M phosphate, using 5,8-dioxy-1,4-naphthoquinone as substrate, at pH 7.0, 25°C	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=1905649	NADH	0.012
pH 8.0, 25°C	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	ADP-ribose	0.025
pH 8.0, 25°C, NAD+ reduction	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	Triton X-100	0.04
pH 7.0, 25°C	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=1932041	NADH	0.05
in 0.4 M phosphate, using ferricyanide as substrate, at pH 7.0, 25°C	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=1905649	NADH	0.05
pH 8.0, 25°C, NADH oxidase reaction	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	rotenone	1.0E-6
pH 8.0, 25°C, NAD+ reduction	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=14670598	rotenone	2.0E-5
	333	https://www.brenda-enzymes.org/literature.php?r=392703	rolliniastatin-1	3.0E-4
	333	https://www.brenda-enzymes.org/literature.php?r=392703	squamocin	4.0E-4
	333	https://www.brenda-enzymes.org/literature.php?r=392703	rolliniastatin-2	6.0E-4
