Commentary	Ref	Literature(PubmedID)	value
1 	21	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	47000.0
SDS-PAGE	21	https://www.ncbi.nlm.nih.gov/pubmed/?term=16303338	50000.0
gel filtration	21	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	60000.0
1 	22	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	47000.0
SDS-PAGE	22	https://www.ncbi.nlm.nih.gov/pubmed/?term=16303338	50000.0
gel filtration	22	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	60000.0
1 	23	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	47000.0
SDS-PAGE	23	https://www.ncbi.nlm.nih.gov/pubmed/?term=16303338	50000.0
gel filtration	23	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	60000.0
1 	24	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	47000.0
SDS-PAGE	24	https://www.ncbi.nlm.nih.gov/pubmed/?term=16303338	50000.0
gel filtration	24	https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	60000.0
1 	61	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	46000.0
1 	62	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	46000.0
1 	63	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	46000.0
above, gel filtration	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	520000.0
sucrose density gradient centrifugation	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	550000.0
above, gel filtration	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	520000.0
sucrose density gradient centrifugation	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	550000.0
above, gel filtration	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	520000.0
sucrose density gradient centrifugation	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	550000.0
above, gel filtration	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=12627969	520000.0
sucrose density gradient centrifugation	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	550000.0
several molecular mass forms of the purified complex exist	305	https://www.brenda-enzymes.org/literature.php?r=392701	-999.0
several molecular mass forms of the purified complex exist	306	https://www.brenda-enzymes.org/literature.php?r=392701	-999.0
several molecular mass forms of the purified complex exist	307	https://www.brenda-enzymes.org/literature.php?r=392701	-999.0
SDS-PAGE	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=16150735	51000.0
gel filtration	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=35108	69000.0
