Commentary	Ref	Literature(PubmedID)	value
	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	80.0
	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	80.0
	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	80.0
	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	80.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	25.0
assay at	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	30.0
assay at	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	32.0
assay at	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	32.0
assay at	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	597	https://www.ncbi.nlm.nih.gov/pubmed/?term=11731134	25.0
assay at	598	https://www.ncbi.nlm.nih.gov/pubmed/?term=11731134	25.0
assay at	599	https://www.ncbi.nlm.nih.gov/pubmed/?term=11731134	25.0
assay at	815	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	815	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	816	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	816	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	817	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	817	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	818	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	818	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	819	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	819	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	820	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	820	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	821	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	821	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	822	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	822	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	823	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	823	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	824	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	824	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	825	https://www.ncbi.nlm.nih.gov/pubmed/?term=21417432	30.0
assay at	825	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	30.0
assay at	1354	https://www.ncbi.nlm.nih.gov/pubmed/?term=19564154	25.0
assay at	1512	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	1513	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	1514	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	1515	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	1619	https://www.ncbi.nlm.nih.gov/pubmed/?term=19097788	25.0
assay at	1620	https://www.ncbi.nlm.nih.gov/pubmed/?term=19097788	25.0
assay at	1621	https://www.ncbi.nlm.nih.gov/pubmed/?term=19097788	25.0
assay at	1622	https://www.ncbi.nlm.nih.gov/pubmed/?term=19097788	25.0
assay at	1623	https://www.ncbi.nlm.nih.gov/pubmed/?term=19097788	25.0
assay at	1938	https://www.ncbi.nlm.nih.gov/pubmed/?term=21568854	25.0 - 30.0
assay at	1939	https://www.ncbi.nlm.nih.gov/pubmed/?term=21568854	25.0 - 30.0
assay at	1940	https://www.ncbi.nlm.nih.gov/pubmed/?term=21568854	25.0 - 30.0
assay at	2204	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	2204	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	2205	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	2205	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	2206	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	2206	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	2207	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	2207	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	2208	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	2208	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
assay at	2209	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	30.0
assay at	2209	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	32.0 - 37.0
