Commentary	Substrate	Ref	Literature(PubmedID)	value
pH 7.6, 32°C, cosubstrate: ubiquinone-1, ubiquinone-0 or idebenone	NADH	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	2.7
	2,3-dimethoxy-5-methyl-6-[(6-methyl-2,3-dihydroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	8.33
	2-[(2,6-dimethylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	11.22
	2,3-dimethoxy-5-methyl-6-[(6-phenylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	23.88
	2-[(2-chloro-6-phenylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	25.8
	2-[(2-chloro-6-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	42.95
	coenzyme Q0	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	47.69
	2-[(6-chloroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	62.82
	2-[(6-chloro-2,3-dihydroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	63.46
	2-[(6-chloro-2-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	76.28
	2,3-dimethoxy-5-methyl-6-[(6-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	81.73
	coenzyme Q1	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	211.5
pH 7.6, 32°C, cosubstrate: ubiquinone-1, ubiquinone-0 or idebenone	NADH	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	2.7
	2,3-dimethoxy-5-methyl-6-[(6-methyl-2,3-dihydroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	8.33
	2-[(2,6-dimethylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	11.22
	2,3-dimethoxy-5-methyl-6-[(6-phenylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	23.88
	2-[(2-chloro-6-phenylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	25.8
	2-[(2-chloro-6-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	42.95
	coenzyme Q0	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	47.69
	2-[(6-chloroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	62.82
	2-[(6-chloro-2,3-dihydroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	63.46
	2-[(6-chloro-2-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	76.28
	2,3-dimethoxy-5-methyl-6-[(6-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	81.73
	coenzyme Q1	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	211.5
pH 7.6, 32°C, cosubstrate: ubiquinone-1, ubiquinone-0 or idebenone	NADH	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	2.7
	2,3-dimethoxy-5-methyl-6-[(6-methyl-2,3-dihydroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	8.33
	2-[(2,6-dimethylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	11.22
	2,3-dimethoxy-5-methyl-6-[(6-phenylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	23.88
	2-[(2-chloro-6-phenylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	25.8
	2-[(2-chloro-6-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	42.95
	coenzyme Q0	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	47.69
	2-[(6-chloroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	62.82
	2-[(6-chloro-2,3-dihydroimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	63.46
	2-[(6-chloro-2-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]-5,6-dimethoxy-3-methylbenzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	76.28
	2,3-dimethoxy-5-methyl-6-[(6-methylimidazo[2,1-b][1,3]thiazol-5-yl)methyl]benzo-1,4-quinone	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	81.73
	coenzyme Q1	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15465329	211.5
