Commentary	Ref	Literature(PubmedID)	value
	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	9.0
	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	9.0
	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	9.0
	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	9.0
reaction with ubiquinone-1	212	https://www.ncbi.nlm.nih.gov/pubmed/?term=3178753	7.1
reaction with ubiquinone-1	213	https://www.ncbi.nlm.nih.gov/pubmed/?term=3178753	7.1
reaction with ubiquinone-1	214	https://www.ncbi.nlm.nih.gov/pubmed/?term=3178753	7.1
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	7.4
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	7.5
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	7.5
	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=15683258	7.5 - 8.5
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	7.6
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	8.0
assay at	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	9.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	7.4
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	7.5
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	7.5
	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=15683258	7.5 - 8.5
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	7.6
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	8.0
assay at	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	9.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	7.4
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	7.5
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	7.5
	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=15683258	7.5 - 8.5
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	7.6
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	8.0
assay at	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	9.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	7.4
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	7.5
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	7.5
	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=15683258	7.5 - 8.5
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	7.6
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	8.0
assay at	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	9.0
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=19027304	7.4
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=23683271	7.5
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=22854968	7.5
	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=15683258	7.5 - 8.5
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=19220002	7.6
assay at	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=21624365	8.0
