Commentary	Ref	Literature(PubmedID)	value
pH 8.0: about 60% of maximal activity, pH 10.3: about 30% of maximal activity	159	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	8.0 - 10.3
pH 8.0: about 60% of maximal activity, pH 10.3: about 30% of maximal activity	160	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	8.0 - 10.3
pH 8.0: about 60% of maximal activity, pH 10.3: about 30% of maximal activity	161	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	8.0 - 10.3
pH 8.0: about 60% of maximal activity, pH 10.3: about 30% of maximal activity	162	https://www.ncbi.nlm.nih.gov/pubmed/?term=11852056	8.0 - 10.3
about 90% of maximal activity at pH 6.7 and at pH 7.9, reaction with ubiquinone-1	212	https://www.ncbi.nlm.nih.gov/pubmed/?term=3178753	6.7 - 7.9
about 90% of maximal activity at pH 6.7 and at pH 7.9, reaction with ubiquinone-1	213	https://www.ncbi.nlm.nih.gov/pubmed/?term=3178753	6.7 - 7.9
about 90% of maximal activity at pH 6.7 and at pH 7.9, reaction with ubiquinone-1	214	https://www.ncbi.nlm.nih.gov/pubmed/?term=3178753	6.7 - 7.9
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	332	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	333	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	334	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	335	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	336	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	337	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
only NADH binding to the enzyme in pH-dependent. NADH binding to the free enzyme is accelerated by protonation of an amino acid (possibly His)	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=14740890	-999.0
	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=16895522	6.0 - 9.0
activity range	338	https://www.ncbi.nlm.nih.gov/pubmed/?term=20816054	6.0 - 9.0
pH 5.5: about 80% of maximal activity, pH 7.5: about 85% of maximal activity	597	https://www.ncbi.nlm.nih.gov/pubmed/?term=11731134	5.5 - 7.5
pH 5.5: about 80% of maximal activity, pH 7.5: about 85% of maximal activity	598	https://www.ncbi.nlm.nih.gov/pubmed/?term=11731134	5.5 - 7.5
pH 5.5: about 80% of maximal activity, pH 7.5: about 85% of maximal activity	599	https://www.ncbi.nlm.nih.gov/pubmed/?term=11731134	5.5 - 7.5
activity range	815	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	816	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	817	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	818	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	819	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	820	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	821	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	822	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	823	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	824	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
activity range	825	https://www.ncbi.nlm.nih.gov/pubmed/?term=21832062	5.0 - 8.0
