EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Literature(PubmedID)	Ref
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Abies	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=26732267	0
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Abramis brama	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=25875231	1
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Abronia angustifolia	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=25770932	2
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acacia alata	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=16870858	3
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acanthagenys rufogularis	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=28742865	4
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acanthamoeba	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20485385; https://www.ncbi.nlm.nih.gov/pubmed/?term=20546574	5
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acanthamoeba castellanii	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=11861890; https://www.ncbi.nlm.nih.gov/pubmed/?term=20546574	6
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acanthoscelides mexicanus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=11919286	7
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acartomyia mariae	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27232138	8
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acartomyia phoeniciae	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27232138	9
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acartomyia zammitii	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27232138	10
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acerodon jubatus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=15302412	11
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		acetic acid bacteria	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=25267158; https://www.ncbi.nlm.nih.gov/pubmed/?term=9878716	12
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacter aceti	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=9878716; https://www.ncbi.nlm.nih.gov/pubmed/?term=21081762	13
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacter aceti NBRC 14818	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=21081762	14
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacter oeni	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=8875451; https://www.ncbi.nlm.nih.gov/pubmed/?term=9021153	15
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacter oeni	AMENDA reliability +++	https://www.ncbi.nlm.nih.gov/pubmed/?term=9048877	16
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacter oeni	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=1518044; https://www.ncbi.nlm.nih.gov/pubmed/?term=29421264	17
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacter pasteurianus	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=28484812	18
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acetobacterium woodii	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=12206908; https://www.ncbi.nlm.nih.gov/pubmed/?term=11798023	19
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidaminococcus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=2687258	20
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidianus ambivalens		https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	21
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidianus ambivalens	AMENDA reliability +++	https://www.ncbi.nlm.nih.gov/pubmed/?term=12417325; https://www.ncbi.nlm.nih.gov/pubmed/?term=11460922	22
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidianus ambivalens	strain DSM 3772	https://www.ncbi.nlm.nih.gov/pubmed/?term=16303338	23
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidianus ambivalens	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=16303338	24
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidithiobacillus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=15268949; https://www.ncbi.nlm.nih.gov/pubmed/?term=26924114	25
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidithiobacillus ferrooxidans	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=16234867; https://www.ncbi.nlm.nih.gov/pubmed/?term=16699582; https://www.ncbi.nlm.nih.gov/pubmed/?term=26924114	26
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acidobacteria	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=21965575	27
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=26362951; https://www.ncbi.nlm.nih.gov/pubmed/?term=27223476	28
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter baumannii	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=25496770; https://www.ncbi.nlm.nih.gov/pubmed/?term=26362951	29
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter baumannii	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=26833161; https://www.ncbi.nlm.nih.gov/pubmed/?term=27223476; https://www.ncbi.nlm.nih.gov/pubmed/?term=28459877	30
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter baumannii		https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	31
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter baumannii ATCC 19606		https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	32
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter baumannii ATCC 19606		https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	33
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter baumannii ATCC 19606		https://www.ncbi.nlm.nih.gov/pubmed/?term=24169795	34
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter nosocomialis	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27223476	35
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinetobacter pittii	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27223476	36
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acinonyx jubatus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=15302412	37
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Acrocarpia paniculata	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=7378391	38
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Actiniaria	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=8643626; https://www.ncbi.nlm.nih.gov/pubmed/?term=26104159	39
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Actinomadura napierensis	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=8365409	40
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Actinomyces glycerinitolerans	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=16870858	41
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Adalia bipunctata	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=11901123	42
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Adeno-associated virus	AMENDA reliability +++	https://www.ncbi.nlm.nih.gov/pubmed/?term=20625049	43
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Adeno-associated virus	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=10982813; https://www.ncbi.nlm.nih.gov/pubmed/?term=24569607; https://www.ncbi.nlm.nih.gov/pubmed/?term=20019878; https://www.ncbi.nlm.nih.gov/pubmed/?term=26438859	44
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Adeno-associated virus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=16543240; https://www.ncbi.nlm.nih.gov/pubmed/?term=22612072; https://www.ncbi.nlm.nih.gov/pubmed/?term=22773905; https://www.ncbi.nlm.nih.gov/pubmed/?term=18197244; https://www.ncbi.nlm.nih.gov/pubmed/?term=24622090; https://www.ncbi.nlm.nih.gov/pubmed/?term=28753212; https://www.ncbi.nlm.nih.gov/pubmed/?term=12231169; https://www.ncbi.nlm.nih.gov/pubmed/?term=12601034; https://www.ncbi.nlm.nih.gov/pubmed/?term=21031578; https://www.ncbi.nlm.nih.gov/pubmed/?term=22562582; https://www.ncbi.nlm.nih.gov/pubmed/?term=25502903; https://www.ncbi.nlm.nih.gov/pubmed/?term=26606867; https://www.ncbi.nlm.nih.gov/pubmed/?term=28918027; https://www.ncbi.nlm.nih.gov/pubmed/?term=29136012	45
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Adeno-associated virus - 2	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=22120150	46
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Adeno-associated virus - 2	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=19387075; https://www.ncbi.nlm.nih.gov/pubmed/?term=20625049; https://www.ncbi.nlm.nih.gov/pubmed/?term=26606867	47
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aedes aegypti	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=17710301; https://www.ncbi.nlm.nih.gov/pubmed/?term=18337347	48
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aedes aegypti	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=19849722; https://www.ncbi.nlm.nih.gov/pubmed/?term=25803027	49
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aedes albopictus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=19731220; https://www.ncbi.nlm.nih.gov/pubmed/?term=26181695; https://www.ncbi.nlm.nih.gov/pubmed/?term=26470188; https://www.ncbi.nlm.nih.gov/pubmed/?term=100158791	50
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aedes vexans	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=100117004	51
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aegle marmelos	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=23434131; https://www.ncbi.nlm.nih.gov/pubmed/?term=21875114	52
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aeromonas hydrophila	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=24937805; https://www.ncbi.nlm.nih.gov/pubmed/?term=16887699	53
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aeschynomene rudis	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=12421080	54
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Afifella marina	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=11594059	55
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		African cichlids	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=12032243	56
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agelenopsis aperta	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=1380382	57
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aggregatibacter actinomycetemcomitans	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=11528000	58
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrobacterium	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20730594; https://www.ncbi.nlm.nih.gov/pubmed/?term=27470140	59
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrobacterium sp.	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20730594	60
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrobacterium tumefaciens	AMENDA reliability +++	https://www.ncbi.nlm.nih.gov/pubmed/?term=17673203	61
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrobacterium tumefaciens		https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	62
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrobacterium tumefaciens	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=16884501	63
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrobacterium tumefaciens C58	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20730594	64
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Agrotis segetum granulovirus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=25320423	65
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Ailuropoda melanoleuca	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=17499457	66
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Ailuropoda melanoleuca	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=23656289	67
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Akebia	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=25319614	68
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		albimanus section	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20117069	69
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		albitarsis series	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20117069	70
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alburnus alburnus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=27765848	71
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alcaligenes	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=1832016	72
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alcaligenes	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=29414084; https://www.ncbi.nlm.nih.gov/pubmed/?term=2687258	73
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alcaligenes faecalis	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20730594; https://www.ncbi.nlm.nih.gov/pubmed/?term=29414084	74
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alces americanus	AMENDA reliability +	https://www.ncbi.nlm.nih.gov/pubmed/?term=16870858	75
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aleutian mink disease parvovirus (STRAIN G)	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=14729262	76
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alexandrium tamarense	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=24259313	77
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Aleyrodidae	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=15291971	78
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alfalfa mosaic virus	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=6810924; https://www.ncbi.nlm.nih.gov/pubmed/?term=7448167	79
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Alicia sansibarensis	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=26104159	80
7.1.1.2	NADH:ubiquinone oxidoreductase	NADH:ubiquinone reductase (H+-translocating)		Allium cepa	FRENDA	https://www.ncbi.nlm.nih.gov/pubmed/?term=20420314; https://www.ncbi.nlm.nih.gov/pubmed/?term=26765999	81
