EC_Number	Organism	PDB	link
3.2.1.8	Acidomyces acidophilus	3m4f	https://www.rcsb.org/structure/3m4f
3.2.1.8	Acremonium	5mrj	https://www.rcsb.org/structure/5mrj
3.2.1.8	Aegilops	5ay7	https://www.rcsb.org/structure/5ay7
3.2.1.8	Aspergillus	1bk1	https://www.rcsb.org/structure/1bk1
3.2.1.8	Aspergillus	1ukr	https://www.rcsb.org/structure/1ukr
3.2.1.8	Aspergillus	2qz2	https://www.rcsb.org/structure/2qz2
3.2.1.8	Aspergillus	3ri8	https://www.rcsb.org/structure/3ri8
3.2.1.8	Aspergillus	3ri9	https://www.rcsb.org/structure/3ri9
3.2.1.8	Aspergillus	4xuy	https://www.rcsb.org/structure/4xuy
3.2.1.8	Aspergillus kawachii	1bk1	https://www.rcsb.org/structure/1bk1
3.2.1.8	Aspergillus kawachii	3ri8	https://www.rcsb.org/structure/3ri8
3.2.1.8	Aspergillus kawachii	3ri9	https://www.rcsb.org/structure/3ri9
3.2.1.8	Aspergillus niger	1ukr	https://www.rcsb.org/structure/1ukr
3.2.1.8	Aspergillus niger	2qz2	https://www.rcsb.org/structure/2qz2
3.2.1.8	Aspergillus niger	4xuy	https://www.rcsb.org/structure/4xuy
3.2.1.8	Bacillus	1bcx	https://www.rcsb.org/structure/1bcx
3.2.1.8	Bacillus	1bvv	https://www.rcsb.org/structure/1bvv
3.2.1.8	Bacillus	1c5h	https://www.rcsb.org/structure/1c5h
3.2.1.8	Bacillus	1c5i	https://www.rcsb.org/structure/1c5i
3.2.1.8	Bacillus	1hv0	https://www.rcsb.org/structure/1hv0
3.2.1.8	Bacillus	1hv1	https://www.rcsb.org/structure/1hv1
3.2.1.8	Bacillus	1igo	https://www.rcsb.org/structure/1igo
3.2.1.8	Bacillus	1xnb	https://www.rcsb.org/structure/1xnb
3.2.1.8	Bacillus	1xnc	https://www.rcsb.org/structure/1xnc
3.2.1.8	Bacillus	1xxn	https://www.rcsb.org/structure/1xxn
3.2.1.8	Bacillus	2b45	https://www.rcsb.org/structure/2b45
3.2.1.8	Bacillus	2b46	https://www.rcsb.org/structure/2b46
3.2.1.8	Bacillus	2bvv	https://www.rcsb.org/structure/2bvv
3.2.1.8	Bacillus	2dcj	https://www.rcsb.org/structure/2dcj
3.2.1.8	Bacillus	2dck	https://www.rcsb.org/structure/2dck
3.2.1.8	Bacillus	2dcy	https://www.rcsb.org/structure/2dcy
3.2.1.8	Bacillus	2dcz	https://www.rcsb.org/structure/2dcz
3.2.1.8	Bacillus	2f8q	https://www.rcsb.org/structure/2f8q
3.2.1.8	Bacillus	2fgl	https://www.rcsb.org/structure/2fgl
3.2.1.8	Bacillus	2qz3	https://www.rcsb.org/structure/2qz3
