Commentary	Ref	Literature(PubmedID)	Inhibitor	value
pH 7.2, 37°C, ALR1	1127	24793885	2-(2-oxo-3-phenethylquinoxalin-1(2H)-yl) acetic acid	1.43E-4
pH 7.2, 37°C, ALR1	1127	24793885	2-(3-(2,4-difluorophenylamino)-6-nitro-2-oxoquinoxalin-1(2H)-yl) acetic acid	2.83E-4
pH 7.2, 37°C, ALR1	1127	24793885	2-(3-(4-fluorostyryl)-6-nitro-2-oxoquinoxalin-1(2H)-yl)acetic acid	3.62E-4
pH 7.2, 37°C, ALR1	1127	24793885	2-(6-chloro-3-(4-fluorostyryl)-2-oxoquinoxalin-1(2H)-yl)acetic acid	6.6E-4
pH 7.2, 37°C, ALR1	1127	24793885	2-(2-oxo-3-styrylquinoxalin-1(2H)-yl) acetic acid	8.2E-4
pH 7.2, 37°C, ALR1	1127	24793885	2-(3-(4-fluorophenethyl)-2-oxoquinoxalin-1(2H)-yl) acetic acid	0.00114
pH and temperature not specified in the publication	1127	25695864	(3-[[(2-fluorophenyl)methyl]sulfanyl]-5H-[1,2,4]triazino[5,6-b]indol-5-yl)acetic acid	0.0012
pH 7.2, 37°C, ALR1	1127	24793885	2-(3-(4-fluorostyryl)-2-oxoquinoxalin-1(2H)-yl) acetic acid	0.00143
pH 7.2, 37°C, ALR1	1127	24793885	2-(3-(3-(tert-butylamino)-3-oxoprop-1-en-1-yl)-2-oxoquinoxalin-1(2H)-yl) acetic acid	0.00186
pH 7.2, 37°C, ALR1	1127	24793885	2-(7-chloro-2-oxo-3-styrylquinoxalin-1(2H)-yl) acetic acid	0.00388
pH and temperature not specified in the publication	1127	25695864	(2,3-dihydrocyclopenta[b]indol-4(1H)-yl)acetic acid	0.0048
pH and temperature not specified in the publication	1127	25695864	3-[3-[(diethylamino)methyl]-1H-indol-1-yl]propanoic acid	0.0067
pH 7.2, 37°C, ALR1	1127	24793885	2-(3-(4-(4-methoxyphenyl) piperazin-1-yl)-2-oxoquinoxalin-1(2H)-yl) acetic acid	0.00753
