Commentary	Ref	Literature(PubmedID)	value
2 	35	12834271	31000.0
3 	35	12834271	42000.0
ADH II, grl filtration	35	12834271	70000.0
ADH I, gel filtration	35	12834271	130000.0
2 	36	12834271	31000.0
3 	36	12834271	42000.0
ADH II, grl filtration	36	12834271	70000.0
ADH I, gel filtration	36	12834271	130000.0
2 	37	12834271	31000.0
3 	37	12834271	42000.0
ADH II, grl filtration	37	12834271	70000.0
ADH I, gel filtration	37	12834271	130000.0
2 	38	12834271	31000.0
3 	38	12834271	42000.0
ADH II, grl filtration	38	12834271	70000.0
ADH I, gel filtration	38	12834271	130000.0
2 	39	12834271	31000.0
3 	39	12834271	42000.0
ADH II, grl filtration	39	12834271	70000.0
ADH I, gel filtration	39	12834271	130000.0
2 	40	12834271	31000.0
3 	40	12834271	42000.0
ADH II, grl filtration	40	12834271	70000.0
ADH I, gel filtration	40	12834271	130000.0
2 	41	12834271	31000.0
3 	41	12834271	42000.0
ADH II, grl filtration	41	12834271	70000.0
ADH I, gel filtration	41	12834271	130000.0
4 	133	16233615	39570.0
4 	133	16233615	40000.0
gel filtration	133	16233615	160000.0
4 	134	16233615	39570.0
4 	134	16233615	40000.0
gel filtration	134	16233615	160000.0
4 	135	16233615	39570.0
4 	135	16233615	40000.0
gel filtration	135	16233615	160000.0
4 	136	16233615	39570.0
4 	136	16233615	40000.0
gel filtration	136	16233615	160000.0
	307	23707506	40700.0
gel filtration	307	23707506	70000.0-80000.0
	308	23707506	40700.0
gel filtration	308	23707506	70000.0-80000.0
	309	23707506	40700.0
gel filtration	309	23707506	70000.0-80000.0
	310	23707506	40700.0
gel filtration	310	23707506	70000.0-80000.0
	311	23707506	40700.0
gel filtration	311	23707506	70000.0-80000.0
	312	23707506	40700.0
gel filtration	312	23707506	70000.0-80000.0
	313	23707506	40700.0
gel filtration	313	23707506	70000.0-80000.0
x 	398	3156582	37500.0
gel filtration	398	3156582	290000.0
x 	399	3156582	37500.0
gel filtration	399	3156582	290000.0
x 	400	3156582	37500.0
gel filtration	400	3156582	290000.0
x 	401	3156582	37500.0
gel filtration	401	3156582	290000.0
x 	402	3156582	37500.0
gel filtration	402	3156582	290000.0
x 	403	3156582	37500.0
gel filtration	403	3156582	290000.0
x 	404	3156582	37500.0
gel filtration	404	3156582	290000.0
x 	573	21734824	31000.0
x 	574	21734824	31000.0
x 	575	21734824	31000.0
x 	576	21734824	31000.0
gel filtration	640	16243283	29000.0
1 	640	16243283	39000.0
gel filtration	707	0	150000.0
gel filtration	708	0	150000.0
gel filtration	709	0	150000.0
gel filtration	710	0	150000.0
gel filtration	711	0	150000.0
gel filtration	712	0	150000.0
2 	743	21670533	28900.0
gel filtration	743	21670533	59900.0
2 	744	21670533	28900.0
gel filtration	744	21670533	59900.0
2 	745	21670533	28900.0
gel filtration	745	21670533	59900.0
gel filtration	748	17435004	30000.0
1 	748	17435004	31000.0
gel filtration	749	17435004	30000.0
1 	749	17435004	31000.0
gel filtration	750	17435004	30000.0
1 	750	17435004	31000.0
gel filtration	751	17435004	30000.0
1 	751	17435004	31000.0
gel filtration	752	17435004	30000.0
1 	752	17435004	31000.0
4 	757	0	45000.0
gel filtration	757	0	180000.0
4 	758	0	45000.0
gel filtration	758	0	180000.0
x 	795	23160740	30000.0
2 	885	0	42000.0
gel filtration	885	0	94000.0
4 	930	26216639	96000.0
gel filtration	930	26216639	400000.0
4 	931	26216639	96000.0
gel filtration	931	26216639	400000.0
2 	1095	17646983	36900.0
gel filtration	1095	17646983	81500.0
2 	1096	17646983	36900.0
gel filtration	1096	17646983	81500.0
2 	1099	2789998	42000.0
enzyme form ADH-3, equilibrium sedimentation	1099	2789998	82750.0
x 	1132	0	28000.0
x 	1133	0	28000.0
x 	1134	0	28000.0
10 	1254	8491707	43000.0
gel filtration	1254	8491707	320000.0
10 	1255	8491707	43000.0
gel filtration	1255	8491707	320000.0
10 	1256	8491707	43000.0
gel filtration	1256	8491707	320000.0
10 	1257	8491707	43000.0
gel filtration	1257	8491707	320000.0
2 	1266	0	28000.0
gel filtration	1266	0	58000.0
2 	1397	6796069	27800.0
gel filtration	1397	6796069	55600.0
2 	1398	6796069	27800.0
gel filtration	1398	6796069	55600.0
2 	1399	6796069	27800.0
gel filtration	1399	6796069	55600.0
2 	1400	6796069	27800.0
gel filtration	1400	6796069	55600.0
2 	1401	6796069	27800.0
gel filtration	1401	6796069	55600.0
2 	1402	6796069	27800.0
gel filtration	1402	6796069	55600.0
2 	1403	6796069	27800.0
gel filtration	1403	6796069	55600.0
2 	1404	6796069	27800.0
gel filtration	1404	6796069	55600.0
2 	1405	6796069	27800.0
gel filtration	1405	6796069	55600.0
2 	1406	6796069	27800.0
gel filtration	1406	6796069	55600.0
2 	1464	6796069	27800.0
gel filtration	1464	6796069	57600.0
2 	1465	6796069	27800.0
gel filtration	1465	6796069	57600.0
2 	1466	6796069	27800.0
gel filtration	1466	6796069	57600.0
2 	1467	6796069	27800.0
gel filtration	1467	6796069	57600.0
2 	1468	6796069	27800.0
gel filtration	1468	6796069	57600.0
2 	1469	6796069	27800.0
gel filtration	1469	6796069	57600.0
2 	1486	6796069	27800.0
gel filtration	1486	6796069	54600.0
2 	1487	6796069	27800.0
gel filtration	1487	6796069	54600.0
2 	1488	6796069	27800.0
gel filtration	1488	6796069	54600.0
2 	1489	6796069	27800.0
gel filtration	1489	6796069	54600.0
2 	1490	6796069	27800.0
gel filtration	1490	6796069	54600.0
x 	1544	12058720	96000.0
x 	1545	12058720	96000.0
x 	1546	12058720	96000.0
x 	1547	12058720	96000.0
x 	1548	12058720	96000.0
x 	1549	12058720	96000.0
x 	1550	12058720	96000.0
x 	1551	12058720	96000.0
SDS-PAGE	1658	19120802	37000.0
SDS-PAGE	1659	19120802	37000.0
SDS-PAGE	1660	19120802	37000.0
SDS-PAGE	1661	19120802	37000.0
SDS-PAGE	1662	19120802	37000.0
4 	1719	17072683	40000.0
gel filtration	1719	17072683	160000.0
4 	1720	17072683	40000.0
gel filtration	1720	17072683	160000.0
1 	1730	16390205	24600.0
gel filtration	1730	16390205	25000.0
1 	1731	16390205	24600.0
gel filtration	1731	16390205	25000.0
1 	1732	16390205	24600.0
gel filtration	1732	16390205	25000.0
1 	1733	16390205	24600.0
gel filtration	1733	16390205	25000.0
x 	1759	658420	40000.0
x 	1760	658420	40000.0
x 	1761	658420	40000.0
x 	1762	658420	40000.0
x 	1763	658420	40000.0
x 	1764	658420	40000.0
4 	1775	8729010	37000.0
gel filtration	1775	8729010	158000.0
4 	1776	8729010	37000.0
gel filtration	1776	8729010	158000.0
4 	1777	8729010	37000.0
gel filtration	1777	8729010	158000.0
4 	1778	8729010	37000.0
gel filtration	1778	8729010	158000.0
4 	1779	8729010	37000.0
gel filtration	1779	8729010	158000.0
4 	1780	8729010	37000.0
gel filtration	1780	8729010	158000.0
4 	1781	8729010	37000.0
gel filtration	1781	8729010	158000.0
8 	1784	19383697	41664.0
8 	1784	19383697	45000.0
PAGE	1784	19383697	90000.0
PAGE	1784	19383697	380000.0
gel filtration sedimentation equilibrium centrifugation	1847	0	74000.0
gel filtration sedimentation equilibrium centrifugation	1848	0	74000.0
gel filtration sedimentation equilibrium centrifugation	1849	0	74000.0
gel filtration sedimentation equilibrium centrifugation	1850	0	74000.0
