Commentary	Ref	Literature(PubmedID)	value
recombinant enzyme, expressed in Escherichia coli JM109	11	11097895	1.7
	11	11097895	560.0
	162	4146452	0.05
	162	4393513	0.3786
AR3	162	6753832	0.55
AR1	162	6753832	8.94
	163	4146452	0.05
	163	4393513	0.3786
AR3	163	6753832	0.55
AR1	163	6753832	8.94
	164	4146452	0.05
	164	4393513	0.3786
AR3	164	6753832	0.55
AR1	164	6753832	8.94
	165	4146452	0.05
	165	4393513	0.3786
AR3	165	6753832	0.55
AR1	165	6753832	8.94
	166	4146452	0.05
	166	4393513	0.3786
AR3	166	6753832	0.55
AR1	166	6753832	8.94
	167	4146452	0.05
	167	4393513	0.3786
AR3	167	6753832	0.55
AR1	167	6753832	8.94
	168	4146452	0.05
	168	4393513	0.3786
AR3	168	6753832	0.55
AR1	168	6753832	8.94
	169	4146452	0.05
	169	4393513	0.3786
AR3	169	6753832	0.55
AR1	169	6753832	8.94
	234	1907200	1.35
	235	1907200	1.35
	236	1907200	1.35
	237	1907200	1.35
	238	1907200	1.35
	239	1907200	1.35
	457	744352	2.47
	458	744352	2.47
	459	744352	2.47
	460	744352	2.47
substrate ethanol, isoform ADH-1, pH 8.8, 55캜	525	0	29.7
substrate propan-1-ol, isoform ADH-1, pH 8.8, 55캜	525	0	30.06
substrate octan-1-ol, isoform ADH-1, pH 8.8, 55캜	525	0	34.06
substrate pentan-1-ol, isoform ADH-1, pH 8.8, 55캜	525	0	37.32
substrate hexan-1-ol, isoform ADH-1, pH 8.8, 55캜	525	0	40.04
substrate octan-1-ol, isoform ADH-2, pH 8.8, 55캜	525	0	58.0
substrate pentan-1-ol, isoform ADH-2, pH 8.8, 55캜	525	0	104.2
substrate hexan-1-ol, isoform ADH-2, pH 8.8, 55캜	525	0	116.2
substrate ethanol, isoform ADH-1, pH 8.8, 55캜	526	0	29.7
substrate propan-1-ol, isoform ADH-1, pH 8.8, 55캜	526	0	30.06
substrate octan-1-ol, isoform ADH-1, pH 8.8, 55캜	526	0	34.06
substrate pentan-1-ol, isoform ADH-1, pH 8.8, 55캜	526	0	37.32
substrate hexan-1-ol, isoform ADH-1, pH 8.8, 55캜	526	0	40.04
substrate octan-1-ol, isoform ADH-2, pH 8.8, 55캜	526	0	58.0
substrate pentan-1-ol, isoform ADH-2, pH 8.8, 55캜	526	0	104.2
substrate hexan-1-ol, isoform ADH-2, pH 8.8, 55캜	526	0	116.2
substrate ethanol, isoform ADH-1, pH 8.8, 55캜	527	0	29.7
substrate propan-1-ol, isoform ADH-1, pH 8.8, 55캜	527	0	30.06
substrate octan-1-ol, isoform ADH-1, pH 8.8, 55캜	527	0	34.06
substrate pentan-1-ol, isoform ADH-1, pH 8.8, 55캜	527	0	37.32
substrate hexan-1-ol, isoform ADH-1, pH 8.8, 55캜	527	0	40.04
substrate octan-1-ol, isoform ADH-2, pH 8.8, 55캜	527	0	58.0
substrate pentan-1-ol, isoform ADH-2, pH 8.8, 55캜	527	0	104.2
substrate hexan-1-ol, isoform ADH-2, pH 8.8, 55캜	527	0	116.2
	590	744352	1.5
AR2	590	6343086	5.86
AR1	590	6343086	19.7
AR3	590	6343086	19.9
AR1 and AR3	590	6343086	20.0
	665	744352	2.47
aldehyde reductase I	665	6753936	2.47
pure aldehyde reductase	665	16919	14.3
	665	16919	15.7
aldehyde reductase II	665	6753936	29.62
	666	744352	2.47
aldehyde reductase I	666	6753936	2.47
pure aldehyde reductase	666	16919	14.3
	666	16919	15.7
aldehyde reductase II	666	6753936	29.62
	667	744352	2.47
aldehyde reductase I	667	6753936	2.47
pure aldehyde reductase	667	16919	14.3
	667	16919	15.7
aldehyde reductase II	667	6753936	29.62
	668	744352	2.47
aldehyde reductase I	668	6753936	2.47
pure aldehyde reductase	668	16919	14.3
	668	16919	15.7
aldehyde reductase II	668	6753936	29.62
	669	744352	2.47
aldehyde reductase I	669	6753936	2.47
pure aldehyde reductase	669	16919	14.3
	669	16919	15.7
aldehyde reductase II	669	6753936	29.62
	670	744352	2.47
aldehyde reductase I	670	6753936	2.47
pure aldehyde reductase	670	16919	14.3
	670	16919	15.7
aldehyde reductase II	670	6753936	29.62
	671	744352	2.47
aldehyde reductase I	671	6753936	2.47
pure aldehyde reductase	671	16919	14.3
	671	16919	15.7
aldehyde reductase II	671	6753936	29.62
coexpression of formate dehydrogenase and alcohol dehydrogenase reducing methyl acetoacetate to methyl (R)-3-hydroxy butanoate with NADH, photometrically at 340 nm in a mixture of 10mM methyl acetoacetate, 250 microM NADH, 1 mM MgCl2, in 100 mM potassium phosphate buffer, pH 6.0	713	15549291	0.7
