Commentary	Ref	Literature(PubmedID)	value
assay at, forward and reverse reaction	35	12834271	25.0
assay at, forward and reverse reaction	36	12834271	25.0
assay at, forward and reverse reaction	37	12834271	25.0
assay at, forward and reverse reaction	38	12834271	25.0
assay at, forward and reverse reaction	39	12834271	25.0
assay at, forward and reverse reaction	40	12834271	25.0
assay at, forward and reverse reaction	41	12834271	25.0
	81	2231596	33.0
	82	2231596	33.0
	83	2231596	33.0
	84	2231596	33.0
	85	2231596	33.0
	86	2231596	33.0
catalytic activity increased up to 95°C	133	16233615	95.0
catalytic activity increased up to 95°C	134	16233615	95.0
catalytic activity increased up to 95°C	135	16233615	95.0
catalytic activity increased up to 95°C	136	16233615	95.0
assay at	743	21670533	30.0
assay at	744	21670533	30.0
assay at	745	21670533	30.0
	748	17435004	35.0
	749	17435004	35.0
	750	17435004	35.0
	751	17435004	35.0
	752	17435004	35.0
above	757	0	70.0
above	758	0	70.0
	795	23160740	70.0
	930	26216639	40.0
	931	26216639	40.0
assay at	932	26216639	30.0
reaction with ethanol + NAD+	1095	17646983	50.0
reaction with ethanol + NAD+	1096	17646983	50.0
	1254	8491707	40.0
	1255	8491707	40.0
	1256	8491707	40.0
	1257	8491707	40.0
	1266	0	55.0
assay at room temperature	1544	12058720	22.0
assay at room temperature	1545	12058720	22.0
assay at room temperature	1546	12058720	22.0
assay at room temperature	1547	12058720	22.0
assay at room temperature	1548	12058720	22.0
assay at room temperature	1549	12058720	22.0
assay at room temperature	1550	12058720	22.0
assay at room temperature	1551	12058720	22.0
assay at	1572	12604203	30.0-37.0
assay at	1572	12184789	37.0
approximately 70°C	1572	0	70.0
assay at	1573	12604203	30.0-37.0
assay at	1573	12184789	37.0
approximately 70°C	1573	0	70.0
assay at	1574	12604203	30.0-37.0
assay at	1574	12184789	37.0
approximately 70°C	1574	0	70.0
assay at	1575	12604203	30.0-37.0
assay at	1575	12184789	37.0
approximately 70°C	1575	0	70.0
assay at	1576	12604203	30.0-37.0
assay at	1576	12184789	37.0
approximately 70°C	1576	0	70.0
assay at	1577	12604203	30.0-37.0
assay at	1577	12184789	37.0
approximately 70°C	1577	0	70.0
assay at	1578	12604203	30.0-37.0
assay at	1578	12184789	37.0
approximately 70°C	1578	0	70.0
assay at	1579	12604203	30.0-37.0
assay at	1579	12184789	37.0
approximately 70°C	1579	0	70.0
assay at	1580	12604203	30.0-37.0
assay at	1580	12184789	37.0
approximately 70°C	1580	0	70.0
	1719	17072683	70.0
	1720	17072683	70.0
recombinant enzyme	1775	0	70.0
recombinant enzyme	1776	0	70.0
recombinant enzyme	1777	0	70.0
recombinant enzyme	1778	0	70.0
recombinant enzyme	1779	0	70.0
recombinant enzyme	1780	0	70.0
recombinant enzyme	1781	0	70.0
; 	1784	19383697	60.0
	1908	22526808	80.0
	1909	22526808	80.0
	1910	22526808	80.0
	1911	22526808	80.0
	1912	22526808	80.0
	1913	22526808	80.0
assay at	1986	15369820	25.0
assay at	1986	11964133	25.0
assay at	1986	15096205	25.0
assay at	1986	11997393	25.0
assay at	1986	21784063	25.0
assay at	1986	12604203	30.0-37.0
assay at	1987	15369820	25.0
assay at	1987	11964133	25.0
assay at	1987	15096205	25.0
assay at	1987	11997393	25.0
assay at	1987	21784063	25.0
assay at	1987	12604203	30.0-37.0
assay at	1988	15369820	25.0
assay at	1988	11964133	25.0
assay at	1988	15096205	25.0
assay at	1988	11997393	25.0
assay at	1988	21784063	25.0
assay at	1988	12604203	30.0-37.0
assay at	1989	15369820	25.0
assay at	1989	11964133	25.0
assay at	1989	15096205	25.0
assay at	1989	11997393	25.0
assay at	1989	21784063	25.0
assay at	1989	12604203	30.0-37.0
assay at	1990	15369820	25.0
assay at	1990	11964133	25.0
assay at	1990	15096205	25.0
assay at	1990	11997393	25.0
assay at	1990	21784063	25.0
assay at	1990	12604203	30.0-37.0
assay at	1991	15369820	25.0
assay at	1991	11964133	25.0
assay at	1991	15096205	25.0
assay at	1991	11997393	25.0
assay at	1991	21784063	25.0
assay at	1991	12604203	30.0-37.0
assay at	1992	15369820	25.0
assay at	1992	11964133	25.0
assay at	1992	15096205	25.0
assay at	1992	11997393	25.0
assay at	1992	21784063	25.0
assay at	1992	12604203	30.0-37.0
assay at	1993	15369820	25.0
assay at	1993	11964133	25.0
assay at	1993	15096205	25.0
assay at	1993	11997393	25.0
assay at	1993	21784063	25.0
assay at	1993	12604203	30.0-37.0
assay at	1994	15369820	25.0
assay at	1994	11964133	25.0
assay at	1994	15096205	25.0
assay at	1994	11997393	25.0
assay at	1994	21784063	25.0
assay at	1994	12604203	30.0-37.0
assay at	1995	15369820	25.0
assay at	1995	11964133	25.0
