Commentary	Substrate	Ref	Literature(PubmedID)	value
pH 7.0, 37°C	propionaldehyde	505	18211903	45.1
pH 7.0, 37°C	acetaldehyde	505	18211903	53.5
pH 7.0, 37°C	butanaldehyde	505	18211903	59.5
pH 7.0, 37°C	malondialdehyde	505	18211903	60.1
pH 7.0, 37°C	acrolein	505	18211903	62.5
pH 7.0, 37°C	propionaldehyde	506	18211903	45.1
pH 7.0, 37°C	acetaldehyde	506	18211903	53.5
pH 7.0, 37°C	butanaldehyde	506	18211903	59.5
pH 7.0, 37°C	malondialdehyde	506	18211903	60.1
pH 7.0, 37°C	acrolein	506	18211903	62.5
pH 7.0, 37°C	propionaldehyde	507	18211903	45.1
pH 7.0, 37°C	acetaldehyde	507	18211903	53.5
pH 7.0, 37°C	butanaldehyde	507	18211903	59.5
pH 7.0, 37°C	malondialdehyde	507	18211903	60.1
pH 7.0, 37°C	acrolein	507	18211903	62.5
pH 7.0, 37°C	propionaldehyde	508	18211903	45.1
pH 7.0, 37°C	acetaldehyde	508	18211903	53.5
pH 7.0, 37°C	butanaldehyde	508	18211903	59.5
pH 7.0, 37°C	malondialdehyde	508	18211903	60.1
pH 7.0, 37°C	acrolein	508	18211903	62.5
pH 7.0, 37°C	propionaldehyde	509	18211903	45.1
pH 7.0, 37°C	acetaldehyde	509	18211903	53.5
pH 7.0, 37°C	butanaldehyde	509	18211903	59.5
pH 7.0, 37°C	malondialdehyde	509	18211903	60.1
pH 7.0, 37°C	acrolein	509	18211903	62.5
pH 7.0, 37°C	propionaldehyde	510	18211903	45.1
pH 7.0, 37°C	acetaldehyde	510	18211903	53.5
pH 7.0, 37°C	butanaldehyde	510	18211903	59.5
pH 7.0, 37°C	malondialdehyde	510	18211903	60.1
pH 7.0, 37°C	acrolein	510	18211903	62.5
pH 7.0, 37°C	propionaldehyde	511	18211903	45.1
pH 7.0, 37°C	acetaldehyde	511	18211903	53.5
pH 7.0, 37°C	butanaldehyde	511	18211903	59.5
pH 7.0, 37°C	malondialdehyde	511	18211903	60.1
pH 7.0, 37°C	acrolein	511	18211903	62.5
	glycerol	665	16919	0.0283
	Phenylethanol	665	16919	0.0283
