Commentary	Ref	Literature(PubmedID)	value
n-heptanal reduction	11	11097895	7.0
n-heptanol oxidation	11	11097895	9.5
aldehyde reductase with p-nitrobenzaldehyde and NADPH	162	4393513	6.7-6.8
	162	6753936	6.7-6.8
	162	4402936	7.0
aldehyde reductase II	162	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	163	4393513	6.7-6.8
	163	6753936	6.7-6.8
	163	4402936	7.0
aldehyde reductase II	163	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	164	4393513	6.7-6.8
	164	6753936	6.7-6.8
	164	4402936	7.0
aldehyde reductase II	164	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	165	4393513	6.7-6.8
	165	6753936	6.7-6.8
	165	4402936	7.0
aldehyde reductase II	165	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	166	4393513	6.7-6.8
	166	6753936	6.7-6.8
	166	4402936	7.0
aldehyde reductase II	166	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	167	4393513	6.7-6.8
	167	6753936	6.7-6.8
	167	4402936	7.0
aldehyde reductase II	167	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	168	4393513	6.7-6.8
	168	6753936	6.7-6.8
	168	4402936	7.0
aldehyde reductase II	168	0	7.0
aldehyde reductase with p-nitrobenzaldehyde and NADPH	169	4393513	6.7-6.8
	169	6753936	6.7-6.8
	169	4402936	7.0
aldehyde reductase II	169	0	7.0
assay at	505	18211903	7.0
assay at	506	18211903	7.0
assay at	507	18211903	7.0
assay at	508	18211903	7.0
assay at	509	18211903	7.0
assay at	510	18211903	7.0
assay at	511	18211903	7.0
isoform ADH-2; isoform ADH-II	525	0	7.8-9.5
isoform ADH-1; isoform ADH-I	525	0	8.0-9.0
isoform ADH-2; isoform ADH-II	526	0	7.8-9.5
isoform ADH-1; isoform ADH-I	526	0	8.0-9.0
isoform ADH-2; isoform ADH-II	527	0	7.8-9.5
isoform ADH-1; isoform ADH-I	527	0	8.0-9.0
	590	6753936	6.0
AR2, sharp acidic pH	590	6343086	6.0
AR1 and AR3	590	6343086	6.0-6.5
oxidative reaction	641	23179592	10.0
assay at	641	24062264	10.0
oxidative reaction	642	23179592	10.0
assay at	642	24062264	10.0
aldehyde reductase II	665	6753936	6.0
	665	6343086	6.0
aldehyde reductaseI	665	3890957	6.0
reduction of p-nitrobenzaldehyde in presence of NADPH	665	16919	6.6
aldehyde reductase II	665	6753936	6.7-6.8
aldehyde reductase II	665	3922304	7.0
aldehyde reductase II	665	3890957	7.0
	665	1654814	8.5
