Commentary	Ref	Literature(PubmedID)	value
pH 7.0: about 70% of maximal activity, pH 9.6: about 50% of maximal activity, reduction of 2-pentanone	133	16233615	7.0-9.6
pH 9.5: about 40% of maximal activity, pH 11.5: about 30% of maximal activity, oxidation of 2-pentanol	133	16233615	9.6-11.5
pH 7.0: about 70% of maximal activity, pH 9.6: about 50% of maximal activity, reduction of 2-pentanone	134	16233615	7.0-9.6
pH 9.5: about 40% of maximal activity, pH 11.5: about 30% of maximal activity, oxidation of 2-pentanol	134	16233615	9.6-11.5
pH 7.0: about 70% of maximal activity, pH 9.6: about 50% of maximal activity, reduction of 2-pentanone	135	16233615	7.0-9.6
pH 9.5: about 40% of maximal activity, pH 11.5: about 30% of maximal activity, oxidation of 2-pentanol	135	16233615	9.6-11.5
pH 7.0: about 70% of maximal activity, pH 9.6: about 50% of maximal activity, reduction of 2-pentanone	136	16233615	7.0-9.6
pH 9.5: about 40% of maximal activity, pH 11.5: about 30% of maximal activity, oxidation of 2-pentanol	136	16233615	9.6-11.5
more than 50% of maximum activity	307	23707506	8.5
more than 50% of maximum activity	308	23707506	8.5
more than 50% of maximum activity	309	23707506	8.5
more than 50% of maximum activity	310	23707506	8.5
more than 50% of maximum activity	311	23707506	8.5
more than 50% of maximum activity	312	23707506	8.5
more than 50% of maximum activity	313	23707506	8.5
pH 5.0: about 50% of maximal activity, pH 8.0: about 40% of maximal activity, reduction of phenylacetaldehyde	640	16243283	5.0-8.0
pH 8.0: about 50% of maximal activity, pH 12.0: about 50% of maximal activity, oxidation of 2-phenylethanol	640	16243283	8.0-12.0
oxidation reaction activity range, profile overview	743	21670533	4.0-8.5
reduction reaction activity range, profile overview	743	21670533	5.5-9.0
oxidation reaction activity range, profile overview	744	21670533	4.0-8.5
reduction reaction activity range, profile overview	744	21670533	5.5-9.0
oxidation reaction activity range, profile overview	745	21670533	4.0-8.5
reduction reaction activity range, profile overview	745	21670533	5.5-9.0
pH 4.0: about 80% of maximal activity, pH 7.5: about 60% of maximal activity	748	17435004	4.0-7.5
pH 4.0: about 80% of maximal activity, pH 7.5: about 60% of maximal activity	749	17435004	4.0-7.5
pH 4.0: about 80% of maximal activity, pH 7.5: about 60% of maximal activity	750	17435004	4.0-7.5
pH 4.0: about 80% of maximal activity, pH 7.5: about 60% of maximal activity	751	17435004	4.0-7.5
pH 4.0: about 80% of maximal activity, pH 7.5: about 60% of maximal activity	752	17435004	4.0-7.5
complete inactivation	930	26216639	5.5
complete inactivation	931	26216639	5.5
pH 9.5: about 40% of maximal activity, pH 11.5: about 85% of maximal activity, ethanol oxidation enzyme form ADH-3	1099	2789998	9.5-11.5
	1572	15023053	6.0-10.0
	1573	15023053	6.0-10.0
	1574	15023053	6.0-10.0
	1575	15023053	6.0-10.0
	1576	15023053	6.0-10.0
