Commentary	Ref	Literature(PubmedID)	value
about 80000, SDS-PAGE	19	18178143	80000.0
2 	19	11699646	84900.0
2 	19	11699646	85000.0
gel filtration	19	11699646	169000.0
about 80000, SDS-PAGE	20	18178143	80000.0
2 	20	11699646	84900.0
2 	20	11699646	85000.0
gel filtration	20	11699646	169000.0
gel filtration	39	21996477	62000.0
1 	39	21996477	62140.0
1 	39	21996477	62400.0
gel filtration	40	21996477	62000.0
1 	40	21996477	62140.0
1 	40	21996477	62400.0
gel filtration	41	21996477	62000.0
1 	41	21996477	62140.0
1 	41	21996477	62400.0
gel filtration	42	21996477	62000.0
1 	42	21996477	62140.0
1 	42	21996477	62400.0
2 	56	1645695	68000.0
gel filtration	56	1645695	136000.0
2 	57	1645695	68000.0
gel filtration	57	1645695	136000.0
2 	58	1645695	68000.0
gel filtration	58	1645695	136000.0
x 	61	17371508	80000.0
x 	61	17371508	80500.0
x 	61	17371508	97000.0
x 	62	17371508	80000.0
x 	62	17371508	80500.0
x 	62	17371508	97000.0
about 80000, SDS-PAGE	65	18178143	80000.0
x 	65	12454496	81600.0
about 80000, SDS-PAGE	66	18178143	80000.0
x 	66	12454496	81600.0
about 80000, SDS-PAGE	67	18178143	80000.0
x 	67	12454496	81600.0
about 80000, SDS-PAGE	68	18178143	80000.0
x 	68	12454496	81600.0
about 80000, SDS-PAGE	69	18178143	80000.0
x 	69	12454496	81600.0
about 80000, SDS-PAGE	111	18178143	80000.0
2 	111	3886630	84000.0
gel filtration	111	3886630	165000.0
about 80000, SDS-PAGE	112	18178143	80000.0
2 	112	3886630	84000.0
gel filtration	112	3886630	165000.0
about 80000, SDS-PAGE	113	18178143	80000.0
2 	113	3886630	84000.0
gel filtration	113	3886630	165000.0
about 80000, SDS-PAGE	114	18178143	80000.0
2 	114	3886630	84000.0
gel filtration	114	3886630	165000.0
about 80000, SDS-PAGE	143	18178143	80000.0
about 80000, SDS-PAGE	144	18178143	80000.0
about 80000, SDS-PAGE	145	18178143	80000.0
x 	147	9924978	81254.0
mass spectrometry	147	7947969	81290.0
x 	147	9924978	81292.0
SDS-PAGE	147	7947969	94000.0
x 	148	9924978	81254.0
mass spectrometry	148	7947969	81290.0
x 	148	9924978	81292.0
SDS-PAGE	148	7947969	94000.0
x 	149	9924978	81254.0
mass spectrometry	149	7947969	81290.0
x 	149	9924978	81292.0
SDS-PAGE	149	7947969	94000.0
x 	150	9924978	81254.0
mass spectrometry	150	7947969	81290.0
x 	150	9924978	81292.0
SDS-PAGE	150	7947969	94000.0
4 	151	8320233	60300.0
gel filtration	151	8320233	240000.0
4 	152	8320233	60300.0
gel filtration	152	8320233	240000.0
4 	153	8320233	60300.0
gel filtration	153	8320233	240000.0
4 	164	2029529	62500.0
gel filtration	164	2029529	250000.0
4 	165	2029529	62500.0
gel filtration	165	2029529	250000.0
4 	166	2029529	62500.0
gel filtration	166	2029529	250000.0
4 	167	2029529	62500.0
gel filtration	167	2029529	250000.0
theoretical molar mass of monomeric KatG1 with one heme b and a His6-tag	181	19000033	83170.0
2 	181	22822072	85000.0
4 	181	19000033	88000.0
2 	181	19000033	90000.0
dimeric KatG1, SDS-PAGE	181	19000033	160000.0
PAGE	181	22822072	170000.0
homodimer, gel filtration; homodimer, gel filtration	181	19000033	180000.0
homotetramer, gel filtration; homotetramer, gel filtration	181	19000033	352000.0
theoretical molar mass of monomeric KatG1 with one heme b and a His6-tag	182	19000033	83170.0
2 	182	22822072	85000.0
4 	182	19000033	88000.0
2 	182	19000033	90000.0
dimeric KatG1, SDS-PAGE	182	19000033	160000.0
PAGE	182	22822072	170000.0
homodimer, gel filtration; homodimer, gel filtration	182	19000033	180000.0
homotetramer, gel filtration; homotetramer, gel filtration	182	19000033	352000.0
theoretical molar mass of monomeric KatG1 with one heme b and a His6-tag	183	19000033	83170.0
2 	183	22822072	85000.0
4 	183	19000033	88000.0
2 	183	19000033	90000.0
dimeric KatG1, SDS-PAGE	183	19000033	160000.0
PAGE	183	22822072	170000.0
homodimer, gel filtration; homodimer, gel filtration	183	19000033	180000.0
homotetramer, gel filtration; homotetramer, gel filtration	183	19000033	352000.0
4 	217	7673210	80000.0
4 	217	7673210	81889.0
gel filtration	217	7673210	330000.0
2 	237	14553939	80000.0
gel filtration	237	14553939	160000.0
2 	238	14553939	80000.0
gel filtration	238	14553939	160000.0
2 	239	14553939	80000.0
gel filtration	239	14553939	160000.0
2 	240	14553939	80000.0
gel filtration	240	14553939	160000.0
about 80000, SDS-PAGE	243	18178143	80000.0
x 	243	9766000	80000.0
2 	243	9395452	80000.0
2 	243	10933818	81000.0
2 	243	9006925	82000.0
Superose 12HR gel filtration	243	9006925	160000.0
Sephadex G200 gel filtration	243	9006925	175000.0
about 80000, SDS-PAGE	244	18178143	80000.0
x 	244	9766000	80000.0
2 	244	9395452	80000.0
2 	244	10933818	81000.0
2 	244	9006925	82000.0
Superose 12HR gel filtration	244	9006925	160000.0
Sephadex G200 gel filtration	244	9006925	175000.0
about 80000, SDS-PAGE	245	18178143	80000.0
x 	245	9766000	80000.0
2 	245	9395452	80000.0
2 	245	10933818	81000.0
2 	245	9006925	82000.0
Superose 12HR gel filtration	245	9006925	160000.0
Sephadex G200 gel filtration	245	9006925	175000.0
about 80000, SDS-PAGE	246	18178143	80000.0
x 	246	9766000	80000.0
2 	246	9395452	80000.0
2 	246	10933818	81000.0
2 	246	9006925	82000.0
Superose 12HR gel filtration	246	9006925	160000.0
Sephadex G200 gel filtration	246	9006925	175000.0
about 80000, SDS-PAGE	247	18178143	80000.0
x 	247	9766000	80000.0
2 	247	9395452	80000.0
2 	247	10933818	81000.0
2 	247	9006925	82000.0
Superose 12HR gel filtration	247	9006925	160000.0
Sephadex G200 gel filtration	247	9006925	175000.0
about 80000, SDS-PAGE	248	18178143	80000.0
x 	248	9766000	80000.0
2 	248	9395452	80000.0
2 	248	10933818	81000.0
2 	248	9006925	82000.0
Superose 12HR gel filtration	248	9006925	160000.0
Sephadex G200 gel filtration	248	9006925	175000.0
4 	419	0	72000.0
gel filtration	419	0	280000.0
2 	430	8631329	83000.0
gel filtration	430	8631329	170000.0
2 	431	8631329	83000.0
gel filtration	431	8631329	170000.0
2 	432	8631329	83000.0
gel filtration	432	8631329	170000.0
about 80000, SDS-PAGE	470	18178143	80000.0
gel filtration	470	3571290	236000.0
about 80000, SDS-PAGE	471	18178143	80000.0
gel filtration	471	3571290	236000.0
about 80000, SDS-PAGE	472	18178143	80000.0
gel filtration	472	3571290	236000.0
2 	512	9207193	80500.0
2 	513	9207193	80500.0
2 	514	9207193	80500.0
2 	515	9207193	80500.0
about 80000, SDS-PAGE	519	18178143	80000.0
2 	519	10543446	85000.0
2 	519	10543446	85122.0
2 	519	10543446	85137.0
gel filtration	519	10543446	170000.0
about 80000, SDS-PAGE	520	18178143	80000.0
2 	520	10543446	85000.0
2 	520	10543446	85122.0
2 	520	10543446	85137.0
gel filtration	520	10543446	170000.0
about 80000, SDS-PAGE	521	18178143	80000.0
2 	521	10543446	85000.0
2 	521	10543446	85122.0
2 	521	10543446	85137.0
gel filtration	521	10543446	170000.0
about 80000, SDS-PAGE	522	18178143	80000.0
2 	522	10543446	85000.0
2 	522	10543446	85122.0
2 	522	10543446	85137.0
gel filtration	522	10543446	170000.0
about 80000, SDS-PAGE	523	18178143	80000.0
2 	523	10543446	85000.0
2 	523	10543446	85122.0
2 	523	10543446	85137.0
gel filtration	523	10543446	170000.0
gel filtration	551	21996477	62000.0
1 	551	21996477	62140.0
1 	551	21996477	62400.0
theoretical molar mass of monomeric KatG1 with one heme b and a His6-tag	553	19000033	83170.0
2 	553	22822072	85000.0
4 	553	19000033	88000.0
2 	553	19000033	90000.0
dimeric KatG1, SDS-PAGE	553	19000033	160000.0
PAGE	553	22822072	170000.0
homodimer, gel filtration; homodimer, gel filtration	553	19000033	180000.0
homotetramer, gel filtration; homotetramer, gel filtration	553	19000033	352000.0
theoretical molar mass of monomeric KatG1 with one heme b and a His6-tag	554	19000033	83170.0
2 	554	22822072	85000.0
4 	554	19000033	88000.0
2 	554	19000033	90000.0
dimeric KatG1, SDS-PAGE	554	19000033	160000.0
PAGE	554	22822072	170000.0
homodimer, gel filtration; homodimer, gel filtration	554	19000033	180000.0
