Commentary	Ref	Literature(PubmedID)	value
catalase activity	19	11699646	70.0
peroxidase activity	19	11699646	80.0
catalase activity	20	11699646	70.0
peroxidase activity	20	11699646	80.0
	39	21996477	37.0
	39	27016935	40.0
	40	21996477	37.0
	40	27016935	40.0
	41	21996477	37.0
	41	27016935	40.0
	42	21996477	37.0
	42	27016935	40.0
assay at	65	12454496	37.0
assay at	66	12454496	37.0
assay at	67	12454496	37.0
assay at	68	12454496	37.0
assay at	69	12454496	37.0
peroxidase activity decreases rapidly above its maximum at 40°C	151	8320233	40.0
catalase activity	151	8320233	50.0
peroxidase activity decreases rapidly above its maximum at 40°C	152	8320233	40.0
catalase activity	152	8320233	50.0
peroxidase activity decreases rapidly above its maximum at 40°C	153	8320233	40.0
catalase activity	153	8320233	50.0
peroxidase activity	237	14553939	30.0
catalase activity	237	14553939	40.0
peroxidase activity	238	14553939	30.0
catalase activity	238	14553939	40.0
peroxidase activity	239	14553939	30.0
catalase activity	239	14553939	40.0
peroxidase activity	240	14553939	30.0
catalase activity	240	14553939	40.0
assay at	243	12543676	23.0
assay at	244	12543676	23.0
assay at	245	12543676	23.0
assay at	246	12543676	23.0
assay at	247	12543676	23.0
assay at	248	12543676	23.0
for catalase activity	419	0	40.0
assay at	519	12731870	30.0
assay at	520	12731870	30.0
assay at	521	12731870	30.0
assay at	522	12731870	30.0
assay at	523	12731870	30.0
assay at	524	15134453	30.0
assay at	525	15134453	30.0
	551	21996477	37.0
	551	27016935	40.0
catalase activity	564	11699646	70.0
peroxidase activity	564	11699646	80.0
assay at	570	12731870	30.0
assay at	571	12543676	23.0
assay at	583	12454496	37.0
assay at	585	12454496	37.0
assay at	586	12454496	37.0
	587	21996477	37.0
	587	27016935	40.0
