Commentary	Ref	Literature(PubmedID)	value
	19	18178143	4.5
peroxidase activity	19	11699646	4.5
catalase activity	19	11699646	6.0
	20	18178143	4.5
peroxidase activity	20	11699646	4.5
catalase activity	20	11699646	6.0
	39	21996477	7.0
	39	27016935	7.0
	40	21996477	7.0
	40	27016935	7.0
	41	21996477	7.0
	41	27016935	7.0
	42	21996477	7.0
	42	27016935	7.0
pH optimum for peroxidase activity	61	17371508	5.5
pH optimum for catalase activity	61	17371508	6.0
pH optimum for peroxidase activity	62	17371508	5.5
pH optimum for catalase activity	62	17371508	6.0
	65	18178143	4.5
peroxidase activity of KatG	65	16516299	5.5
assay at	65	12454496	7.0
	66	18178143	4.5
peroxidase activity of KatG	66	16516299	5.5
assay at	66	12454496	7.0
	67	18178143	4.5
peroxidase activity of KatG	67	16516299	5.5
assay at	67	12454496	7.0
	68	18178143	4.5
peroxidase activity of KatG	68	16516299	5.5
assay at	68	12454496	7.0
	69	18178143	4.5
peroxidase activity of KatG	69	16516299	5.5
assay at	69	12454496	7.0
	111	18178143	4.3
peroxidase pH optimum	111	18413236	4.5
maximal peroxidase activity	111	14678798	4.7
peroxidase activity of KatG	111	16516299	5.5
catalase pH optimum	111	18413236	6.5
maximal catalase activity	111	14678798	7.2
	112	18178143	4.3
peroxidase pH optimum	112	18413236	4.5
maximal peroxidase activity	112	14678798	4.7
peroxidase activity of KatG	112	16516299	5.5
catalase pH optimum	112	18413236	6.5
maximal catalase activity	112	14678798	7.2
	113	18178143	4.3
peroxidase pH optimum	113	18413236	4.5
maximal peroxidase activity	113	14678798	4.7
peroxidase activity of KatG	113	16516299	5.5
catalase pH optimum	113	18413236	6.5
maximal catalase activity	113	14678798	7.2
	114	18178143	4.3
peroxidase pH optimum	114	18413236	4.5
maximal peroxidase activity	114	14678798	4.7
peroxidase activity of KatG	114	16516299	5.5
catalase pH optimum	114	18413236	6.5
maximal catalase activity	114	14678798	7.2
	143	18178143	4.0
	144	18178143	4.0
	145	18178143	4.0
peroxidatic activity in the absence of NaCl, with diaminobenzidine as electron donor	147	7947969	6.0
catalatic activity in molar concentrations of NaCl, with diaminobenzidine as electron donor	147	7947969	7.5
peroxidatic activity in the absence of NaCl, with diaminobenzidine as electron donor	148	7947969	6.0
catalatic activity in molar concentrations of NaCl, with diaminobenzidine as electron donor	148	7947969	7.5
peroxidatic activity in the absence of NaCl, with diaminobenzidine as electron donor	149	7947969	6.0
catalatic activity in molar concentrations of NaCl, with diaminobenzidine as electron donor	149	7947969	7.5
peroxidatic activity in the absence of NaCl, with diaminobenzidine as electron donor	150	7947969	6.0
catalatic activity in molar concentrations of NaCl, with diaminobenzidine as electron donor	150	7947969	7.5
peroxidatic activity	164	2029529	5.2-5.7
catalatic activity	164	2029529	6.3
peroxidatic activity	165	2029529	5.2-5.7
catalatic activity	165	2029529	6.3
peroxidatic activity	166	2029529	5.2-5.7
catalatic activity	166	2029529	6.3
peroxidatic activity	167	2029529	5.2-5.7
catalatic activity	167	2029529	6.3
also acts as a versatile peroxidase with a pH optimum in the range 5.0-5.5, using both one-electron [2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid), o-dianisidine, pyrogallol, or guaiacol] and two-electron (Br-, I- or ethanol) donors; also acts as a versatile peroxidase with a pH optimum in the range 5.0-5.5, using both one-electron [2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid), o-dianisidine, pyrogallol, or guaiacol] and two-electron (Br-, I- or ethanol) donors	181	19000033	5.0-5.5
	181	27293030	5.3
; 	181	19000033	6.0
