EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Literature(PubmedID)	Ref
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Acinetobacter baumannii	FRENDA	28193905	0
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Actinobacteria	FRENDA	18453708	1
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Actinomycetales	FRENDA	23729651	2
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Agrobacterium	FRENDA	23430716; 100025491	3
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Agrobacterium rhizogenes	FRENDA	23430716; 100025491	4
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Agrobacterium tumefaciens	AMENDA reliability +	12705881; 15321665	5
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Agrobacterium tumefaciens	AMENDA reliability +++	15033242	6
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Alphaproteobacteria	AMENDA reliability +	12705881; 10498730	7
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Amoeba	AMENDA reliability +	15271914	8
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Anabaena	FRENDA	19244216	9
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		animal	AMENDA reliability +	10645439	10
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		animal	AMENDA reliability +++	9599012	11
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		animal	FRENDA	20021153	12
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Apium	FRENDA	28587060; 28587060	13
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Apium graveolens	FRENDA	28587060; 28587060	14
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Arabidopsis thaliana	FRENDA	22797762	15
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Archaea	AMENDA reliability +	10782109; 11702717; 24280274	16
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Archaea	FRENDA	26290940; 23589225	17
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		archaebacterium	FRENDA	22209752	18
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Archaeoglobus fulgidus		18178143	19
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Archaeoglobus fulgidus	AMENDA reliability +++	11699646	20
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		archaeon	AMENDA reliability +	11699646	21
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Areas	FRENDA	11914371; 16418525	22
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Armoracia rusticana	AMENDA reliability +	2831205; 7487109	23
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Armoracia rusticana	FRENDA	10075914; 10379683; 11795785; 24317998; 15231844; 9006925; 15637065; 10933818; 1645695	24
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Ascomycota	AMENDA reliability +	28802018	25
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Ascomycota	FRENDA	27681232	26
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Aspergillus	FRENDA	17086155	27
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Aspergillus fumigatus	FRENDA	12761140; 17086155	28
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Aspergillus nidulans	AMENDA reliability +	12455692	29
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Aspergillus nidulans	FRENDA	12761140	30
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Aspergillus sydowii	FRENDA	28558650	31
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Auricularia auricula-judae	FRENDA	25637654	32
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Azorhizobium caulinodans	FRENDA	27190162	33
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacilli	AMENDA reliability +	28446175	34
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacilli	FRENDA	9864198; 24465625; 10656114; 8658136	35
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus	AMENDA reliability +	13836795; 26103972	36
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus	FRENDA	8621083; 11778844; 11251835	37
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus alveayuensis	FRENDA	16832627	38
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus pumilus		21996477	39
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus pumilus	AMENDA reliability +	25663126	40
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus pumilus	AMENDA reliability +++	28446175	41
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus pumilus	FRENDA	24465625; 21996477; 27016935	42
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus sp. (in: Bacteria)	AMENDA reliability +	16233161; 11778844	43
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus sp. (in: Bacteria)	AMENDA reliability +++	15158713	44
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus sp. (in: Bacteria)	FRENDA	15859332	45
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus subtilis	AMENDA reliability +++	28446175	46
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus subtilis	FRENDA	24465625; 15158713	47
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacillus subtilis subsp. subtilis str. 168	FRENDA	27016935	48
1.11.1.21	donor:hydrogen-peroxide oxidoreductase	catalase-peroxidase		Bacteria	AMENDA reliability +	10743616; 1605641; 10217488; 10782109; 26035302; 9919646; 26710603; 11251835; 16030151; 10074082; 24280274; 25964067	49
