synonyms	ec_number	recommended_name
Isomerase, maleate	5.2.1.1	maleate isomerase
MaiA	5.2.1.1	maleate isomerase
Pp-Iso	5.2.1.1	maleate isomerase
maleate cis-trans isomerase	5.2.1.1	maleate isomerase
Isomerase, 2-chlorocarboxymethylenebutenolide	5.2.1.10	2-Chloro-4-carboxymethylenebut-2-en-1,4-olide isomerase
2-Chlorocarboxymethylenebutenolide isomerase	5.2.1.10	2-Chloro-4-carboxymethylenebut-2-en-1,4-olide isomerase
Chlorodienelactone isomerase	5.2.1.10	2-Chloro-4-carboxymethylenebut-2-en-1,4-olide isomerase
Z-ISO	5.2.1.12	zeta-carotene isomerase
15-cis-zeta-carotene isomerase	5.2.1.12	zeta-carotene isomerase
gene name	5.2.1.12	zeta-carotene isomerase
carotene cis-trans isomerase	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name, Zmcrtiso2 is non-functional	5.2.1.13	prolycopene isomerase
carotenoid isomerase	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
gene name	5.2.1.13	prolycopene isomerase
beta-carotene isomerase	5.2.1.14	beta-carotene isomerase
gene name	5.2.1.14	beta-carotene isomerase
D27	5.2.1.14	beta-carotene isomerase
D27 protein	5.2.1.14	beta-carotene isomerase
beta-carotene cis–trans isomerase	5.2.1.14	beta-carotene isomerase
OsD27	5.2.1.14	beta-carotene isomerase
Isomerase, maleylacetoacetate	5.2.1.2	maleylacetoacetate isomerase
Maleylacetoacetic isomerase	5.2.1.2	maleylacetoacetate isomerase
Maleylacetone isomerase	5.2.1.2	maleylacetoacetate isomerase
Maleylacetone cis-trans-isomerase	5.2.1.2	maleylacetoacetate isomerase
MAc-tI	5.2.1.2	maleylacetoacetate isomerase
glutathione S-transferase zeta-class 1	5.2.1.2	maleylacetoacetate isomerase
AtGSTZ1	5.2.1.2	maleylacetoacetate isomerase
AtMAAI	5.2.1.2	maleylacetoacetate isomerase
glutathione transferase zeta	5.2.1.2	maleylacetoacetate isomerase
glutathione S-transferase zeta/maleylacetoacetate isomerase	5.2.1.2	maleylacetoacetate isomerase
GSTzeta/MAAI	5.2.1.2	maleylacetoacetate isomerase
bifunctional enzyme EC2.5.1.18, glutathione transferase Zeta, GSTZ1-1	5.2.1.2	maleylacetoacetate isomerase
GSTZ1-1	5.2.1.2	maleylacetoacetate isomerase
glutathione S-transferase Zeta 1-1	5.2.1.2	maleylacetoacetate isomerase
glutathione transferase zeta 1/maleylacetoacetate isomerase	5.2.1.2	maleylacetoacetate isomerase
GSTz1/MAAI	5.2.1.2	maleylacetoacetate isomerase
MAAI	5.2.1.2	maleylacetoacetate isomerase
Isomerase, maleylpyruvate	5.2.1.4	maleylpyruvate isomerase
MPI	5.2.1.4	maleylpyruvate isomerase
NarL	5.2.1.4	maleylpyruvate isomerase
mycothiol-dependent maleylpyruvate isomerase	5.2.1.4	maleylpyruvate isomerase
NagL	5.2.1.4	maleylpyruvate isomerase
3-maleylpyruvate cis-trans-isomerase	5.2.1.4	maleylpyruvate isomerase
mycothiol dependent maleylpyruvate isomerase	5.2.1.4	maleylpyruvate isomerase
msh gene	5.2.1.4	maleylpyruvate isomerase
ncgl2918 gene	5.2.1.4	maleylpyruvate isomerase
thiol-dependent maleylpyruvate isomerase	5.2.1.4	maleylpyruvate isomerase
BagL	5.2.1.4	maleylpyruvate isomerase
maleylpyruvate isomerase	5.2.1.4	maleylpyruvate isomerase
Isomerase, linoleate	5.2.1.5	linoleate isomerase
Linoleate DELTA12-cis,DELTA11-trans isomerase	5.2.1.5	linoleate isomerase
Linoleic acid isomerase	5.2.1.5	linoleate isomerase
LA-I	5.2.1.5	linoleate isomerase
C12 isomerase	5.2.1.5	linoleate isomerase
LA isomerase	5.2.1.5	linoleate isomerase
