synonyms	ec_number	recommended_name
haloalkane halidohydrolase	3.8.1.1	alkylhalidase
haloalkane dehalogenase	3.8.1.1	alkylhalidase
halogenase	3.8.1.1	alkylhalidase
aliphatic halogenase	3.8.1.1	alkylhalidase
SyrB2	3.8.1.1	alkylhalidase
2-haloalkanoic acid dehalogenase	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
2-haloalkanoid acid halidohydrolase	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-2-haloacid dehalogenase (inversion of configuration)	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-2-haloacid halidohydrolase (inversion of configuration)	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-DEXi	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL DEX 113	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
L-2-haloacid dehalogenase	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
L-DEX YL	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-2-haloacid dehalogenase	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-DEX 113	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-DEX	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
DL-DEX Mb	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
2-HAD	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
ps-2-HAD	3.8.1.10	2-haloacid dehalogenase (configuration-inverting)
2-haloalkanoic acid dehalogenase	3.8.1.11	2-haloacid dehalogenase (configuration-retaining)
2-haloalkanoid acid halidohydrolase	3.8.1.11	2-haloacid dehalogenase (configuration-retaining)
DL-2-haloacid dehalogenase	3.8.1.11	2-haloacid dehalogenase (configuration-retaining)
DL-DEXr	3.8.1.11	2-haloacid dehalogenase (configuration-retaining)
2-haloalkanoic acid dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
2-haloalkanoid acid halidohydrolase	3.8.1.2	(S)-2-haloacid dehalogenase
2-haloacid dehalogenase[ambiguous]	3.8.1.2	(S)-2-haloacid dehalogenase
2-haloacid halidohydrolase[ambiguous]	3.8.1.2	(S)-2-haloacid dehalogenase
2-halocarboxylic acid dehalogenase II	3.8.1.2	(S)-2-haloacid dehalogenase
DL-2-haloacid dehalogenase [ambiguous]	3.8.1.2	(S)-2-haloacid dehalogenase
2-halo acid dehalogeanse	3.8.1.2	(S)-2-haloacid dehalogenase
L-DEXs	3.8.1.2	(S)-2-haloacid dehalogenase
dehalogenase IVa	3.8.1.2	(S)-2-haloacid dehalogenase
L-DEX YL	3.8.1.2	(S)-2-haloacid dehalogenase
L-2-haloacid dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
L-HADST	3.8.1.2	(S)-2-haloacid dehalogenase
2-HAD	3.8.1.2	(S)-2-haloacid dehalogenase
HADIIBSW	3.8.1.2	(S)-2-haloacid dehalogenase
2-haloalkanoate dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
2-haloacid dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
L-haloacid dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
L-HAD	3.8.1.2	(S)-2-haloacid dehalogenase
L-2_HAD	3.8.1.2	(S)-2-haloacid dehalogenase
locus name	3.8.1.2	(S)-2-haloacid dehalogenase
DEH99	3.8.1.2	(S)-2-haloacid dehalogenase
S-2-haloacid dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
Rhodobacteraceae family L-haloacid dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
L-DEX	3.8.1.2	(S)-2-haloacid dehalogenase
L-2-MCPA dehalogenase	3.8.1.2	(S)-2-haloacid dehalogenase
PH1421	3.8.1.2	(S)-2-haloacid dehalogenase
monohaloacetate halidohydrolase	3.8.1.3	haloacetate dehalogenase
monohaloacetate dehalogenase	3.8.1.3	haloacetate dehalogenase
haloacid dehalogenase	3.8.1.3	haloacetate dehalogenase
PH0459	3.8.1.3	haloacetate dehalogenase
FAc-Dex FA1	3.8.1.3	haloacetate dehalogenase
fluoroacetate-specific defluorinase	3.8.1.3	haloacetate dehalogenase
the enzyme belongs to the haloacid dehalogenase HADsuperfamily of enzymes	3.8.1.3	haloacetate dehalogenase
magnesium-dependent acid phosphatase-1	3.8.1.3	haloacetate dehalogenase
MDP-1	3.8.1.3	haloacetate dehalogenase
fluoroacetate dehalogenase	3.8.1.3	haloacetate dehalogenase
Fac-DEX	3.8.1.3	haloacetate dehalogenase
FAc-Dex H1	3.8.1.3	haloacetate dehalogenase
1-chlorohexane halidohydrolase	3.8.1.5	haloalkane dehalogenase
1-haloalkane dehalogenase	3.8.1.5	haloalkane dehalogenase
1,3,4,6,-tetrachloro-1,4-cyclohexadiene halidohydrolase	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamilyHLD-II	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-II	3.8.1.5	haloalkane dehalogenase
formerly CurN	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-II	3.8.1.5	haloalkane dehalogenase
haloalkanedehalogenase	3.8.1.5	haloalkane dehalogenase
DspA	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-I	3.8.1.5	haloalkane dehalogenase
LinBMI	3.8.1.5	haloalkane dehalogenase
DmxA	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-II	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-II	3.8.1.5	haloalkane dehalogenase
HLD	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-III	3.8.1.5	haloalkane dehalogenase
DbeA	3.8.1.5	haloalkane dehalogenase
DhaA31	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamilyHLD-II	3.8.1.5	haloalkane dehalogenase
Rv2579	3.8.1.5	haloalkane dehalogenase
DmtA	3.8.1.5	haloalkane dehalogenase
LinBUT	3.8.1.5	haloalkane dehalogenase
DpcA	3.8.1.5	haloalkane dehalogenase
DppA	3.8.1.5	haloalkane dehalogenase
DadB	3.8.1.5	haloalkane dehalogenase
HanR	3.8.1.5	haloalkane dehalogenase
DmrA	3.8.1.5	haloalkane dehalogenase
DmrB	3.8.1.5	haloalkane dehalogenase
DhAf	3.8.1.5	haloalkane dehalogenase
DhaB	3.8.1.5	haloalkane dehalogenase
DhaC	3.8.1.5	haloalkane dehalogenase
DmaA	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-I	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-II	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-III	3.8.1.5	haloalkane dehalogenase
phylogenetic analysis, subfamily HLD-I	3.8.1.5	haloalkane dehalogenase
FcbB	3.8.1.6	4-chlorobenzoate dehalogenase
dehalogenase, 4-chlorobenzoyl coenzyme A	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-chlorobenzoate-coenzyme A dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
dehalogenase, 4-chlorobenzoyl coenzyme A (Pseudomonas strain CBS-3clone pMMB22 reduced)	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-chlorobenzoyl CoA dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-CBS-CoA dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-CBA-CoA dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-chlorobenzoyl-coenzyme A dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-CBCoA dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-chlorobenzoyl-CoA dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
4-chlorobenzoate-CoA-dehalogenase	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
FcbB	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
CHD	3.8.1.7	4-chlorobenzoyl-CoA dehalogenase
atrazine dechlorinase	3.8.1.8	atrazine chlorohydrolase
dechlorinase, atrazine (9CI)	3.8.1.8	atrazine chlorohydrolase
AtzA	3.8.1.8	atrazine chlorohydrolase
atrazine chlorohydrolase	3.8.1.8	atrazine chlorohydrolase
triazine hydrolase	3.8.1.8	atrazine chlorohydrolase
atrazine chlorohydrolase 2	3.8.1.8	atrazine chlorohydrolase
enzyme shows 98% amino acid sequence identitiy withmelamine deaminase from Pseudomonas sp. strain NRRL B-12227, but doesnot catalyse the same reaction	3.8.1.8	atrazine chlorohydrolase
AtzB	3.8.1.8	atrazine chlorohydrolase
hydroxyatrazine N-ethylaminohydrolase	3.8.1.8	atrazine chlorohydrolase
TrZN	3.8.1.8	atrazine chlorohydrolase
2-haloalkanoic acid dehalogenase	3.8.1.9	(R)-2-haloacid dehalogenase
2-haloalkanoid acid halidohydrolase	3.8.1.9	(R)-2-haloacid dehalogenase
D-DEX	3.8.1.9	(R)-2-haloacid dehalogenase
D-2-MCPA dehalogenase	3.8.1.9	(R)-2-haloacid dehalogenase
D-specific mono chloro propionoic acid dehalogenase	3.8.1.9	(R)-2-haloacid dehalogenase
DehIII	3.8.1.9	(R)-2-haloacid dehalogenase
D-2-haloacid dehalogenase	3.8.1.9	(R)-2-haloacid dehalogenase
DEH138	3.8.1.9	(R)-2-haloacid dehalogenase
R-2-haloacid dehalogenase	3.8.1.9	(R)-2-haloacid dehalogenase
D-specific dehalogenase	3.8.1.9	(R)-2-haloacid dehalogenase
DehD	3.8.1.9	(R)-2-haloacid dehalogenase
