EC Number	Systematic Name	Recommended Name	UniProt	Organism	Organism Commentary
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acacia verek	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acetobacter pasteurianus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acetobacterium wieringae	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidobacteria	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidobacterium capsulatum	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidomyces acidophilus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidomyces acidophilus	AMENDA reliability ++++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidomyces acidophilus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase	Q6VAY1	Acidomyces acidophilus	gene XYL1
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus 11B	
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus 11B	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acidothermus cellulolyticus 11B	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acremonium	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acrophialophora nainiana	XynIII
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acrophialophora nainiana	AMENDA reliability +
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acrophialophora nainiana	XynII
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acrophialophora nainiana	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acrophialophora nainiana XynII	XynII
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Acrophialophora nainiana XynIII	XynIII
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinobacteria	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinobacteria	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinobacteria	FRENDA
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinobacteria bacterium	AMENDA reliability ++
3.2.1.8	4-beta-D-xylan xylanohydrolase	endo-1,4-beta-xylanase		Actinomadura	AMENDA reliability ++
